News;Timestamp;Ueberschrift;Link;Old;Year
" Im Karneval herrscht Narrenfreiheit ! Damit auf  der Grundlage dieses italienischen Ausspruches Kinder und Jugendliche nicht in vermeidbare Risikosituationen gelangen, bittet das  Polizeipräsidium Frankfurt am Main die Eltern, mit den Kindern über  die Gefahren des Faschingszolls zu sprechen.    Mit der Absicht, an Süßigkeiten oder Kleingeld zu  gelangen,  bereiten die ""Zöllner"", nicht nur auf wenig befahrenen Nebenstraßen  mit ihren Seilen oder Brettern gefährliche Sperren. Auf Hauptstraßen  haben diese Mautstellen jedoch nichts zu suchen.    Da die Kinder diese Gefahren aber oft nicht richtig einschätzen  können, werden die Fahrzeugführer, auch die, die nichts zu  verschenken haben, in den Faschingstagen zu einer besonders  vorausschauenden Fahrweise gebeten.    (Manfred Vonhausen/-82113) ots Originaltext: Polizeipräsidium Frankfurt am Main Digitale Pressemappe: http://www.polizeipresse.de/p_story.htx?firmaid=4970";2008-01-31 16:27:00;"POL-F: 080131 - 0142 Frankfurt: ""A carnevale ogni scherzo vale""";"https://www.presseportal.de/blaulicht/pm/4970/1128160
";False;2008
 Am 30.01.2008, gegen 15.00 Uhr, fiel  Polizeibeamten im Bereich der U-Bahn Haltestelle Seckbacher  Landstraße ein Rauschgiftkonsument auf, der nach verlassen der U-Bahn sofort zu einer öffentlichen Telefonzelle ging und telefonierte. Kurz darauf ging er in eine nahegelegene Schrebergartenanlage und kam kurz darauf wieder zur Seckbacher Landstraße zurück. Er wurde nun einer Kontrolle unterzogen, die jedoch negativ verlief. Kurz nach der Entlassung des Konsumenten erschien fröhlich radelnd  ein 24-Jähriger wohnsitzloser Mazedonier. Er fiel deshalb auf, dass  er eine völlig durchnässte Hose mit  Dornenanhaftungen trug. Er  geriet somit in Verdacht, im Kleingartengelände Rauschgiftgeschäfte  getätigt zu haben. Eine  Absuche des Geländes führte zum Fund eines  Bunkers mit 21 Gramm Heroin. Er wurde vorläufig festgenommen. Er macht jedoch keine Angaben zur  Sache und wurde nach seiner Vernehmung dem Ausländeramt überstellt.    Die Ermittlungen dauern an.    (Franz Winkler/069-755 82114) ots Originaltext: Polizeipräsidium Frankfurt am Main Digitale Pressemappe: http://www.polizeipresse.de/p_story.htx?firmaid=4970;2008-01-31 14:22:00;POL-F: 080131 - 0141 Bornheim: Festnahme wegen Verdachts des Rauschgifthandels;"https://www.presseportal.de/blaulicht/pm/4970/1128042
";False;2008
" Nicht in der Sachsenhäuser ""Klappergass"",  sondern in Frankfurt-Heddernheim ereignete sich die folgende  Geschichte. Und bei der Hauptperson handelt es sich auch nicht um die berühmte ""Frau Rauscher"", sondern um eine 38-jährige Marokkanerin.    Aber von diesen Nebensächlichkeiten einmal abgesehen, gibt es da  schon gewisse Parallelen.    Und zwar amtlich. Denn laut Protokoll des 14. Reviers war die  alkoholisierte Frau, die am letzten Mittwochabend in  einem  Heddernheimer Lokal derart randalierte, dass der Wirt die Polizei zu  Hilfe rufen musste, kaum zu bändigen. Der schreiende und tobende  weibliche Gast, so der Wirt, weigere sich doch hartnäckig, die  Gaststätte zu verlassen.    Als zwei Beamte gegen 21.00 Uhr im Lokal am Walter-Möller-Platz  eintrafen, stellten sie zunächst einmal fest, dass der Wirt nicht  übertrieben hatte.    Wobei sich dann auch gleich zeigte, dass die Frau, eine 38-jährige Marokkanerin,  hinsichtlich der Anerkennung von Autoritäten offenbar  keinen Unterschied zwischen Wirtsleuten und Schutzleuten machte. Oder etwa doch?    Zumindest verbesserte sich die Situation durch das Auftauchen der  Ordnungshüter aus Sicht der ""Persona non grata"" nicht wirklich.  Lediglich die Schar ihrer vermeintlichen Gegner hatte sich  vergrößert, doch das war ihr offenbar egal.    Denn sofort nach der ersten wohlmeinenden Ansprache durch die auch für solche Situationen gut ausgebildeten Polizeioberkommissare (27  und 29) ging die 38-Jährige, den Deeskalierungsversuch völlig  ignorierend, zum Frontalangriff über. Sie schlug nach den Beamten,  trat nach Ihnen, beleidigte sie und spuckte ihnen ins Gesicht. Selbst nachdem es den  Polizisten  geglückt war, der renitenten Dame  Handfesseln anzulegen, gab sie ihr extrem aggressives Verhalten nicht auf, trat weiterhin um sich und ""stemmte sich"" laut Polizeiprotokoll  ""gegen jeden Versuch, sie zu beruhigen"".    Ein Motiv für ihre Handlungsweise war nicht erkennbar. Klar schien nur zu sein, dass der genossene Alkohol bei der sich wie wild  Gebärdenden eine nicht ganz unerhebliche Rolle zu spielen schien.    Später stellte sich heraus, dass die Frau bereits in mehr als zwei Dutzend Fällen wegen gewalttätigen Verhaltens (Körperverletzung,  gefährliche Körperverletzung, Bedrohung,  Beleidigung, Widerstand  gegen Vollstreckungsbeamte) polizeilich in Erscheinung getreten ist.    Sie musste schließlich wegen erheblicher Fremd- und  Eigengefährdung in die Psychiatrische Abteilung eines Krankenhauses  eingewiesen werden. Dort wurde ihr auch eine Blutprobe entnommen, auf dessen Ergebnis  jetzt alle ganz gespannt warten...    (Manfred Feist / 755-82117) ots Originaltext: Polizeipräsidium Frankfurt am Main Digitale Pressemappe: http://www.polizeipresse.de/p_story.htx?firmaid=4970";2008-01-31 11:25:00;POL-F: 080131 - 0140 Heddernheim: Frau randaliert im  Alkoholrausch;"https://www.presseportal.de/blaulicht/pm/4970/1127818
";False;2008
 Am Mittwoch, den 30. Januar 2008, gegen 17.15  Uhr, spielte ein 7-jähriges Mädchen zwischen den Häusern der Straße  Alt-Praunheim 27 und 29. Plötzlich stellte sich ihm ein bislang unbekannter Mann in den Weg,  öffnete seine Hose und zeigte sich dem Kind in schamverletzender  Weise. Als er nach einem auf dem Boden liegenden Stock griff, nutzte das  Mädchen die Chance zur Flucht. Durch die von den Eltern verständigte  Polizei wurde sofort eine Nahbereichsfahndung durchgeführt. Die  Maßnahmen blieben jedoch ohne Erfolg.    Der Täter wird beschrieben als 40-45 Jahre alt, 175 - 180 cm groß  und dünn. Er hat blaue Augen und trug eine schwarze Jacke, ein  grün/weiß quergestreiftes Kapuzenshirt, eine blaue Jeans mit einem  Loch im rechten Knie sowie braune Sportschuhe.    (Manfred Füllhardt, 069-75582116) ots Originaltext: Polizeipräsidium Frankfurt am Main Digitale Pressemappe: http://www.polizeipresse.de/p_story.htx?firmaid=4970;2008-01-31 11:24:00;POL-F: 080131 - 0139 Frankfurt-Praunheim: Exhibitionist;"https://www.presseportal.de/blaulicht/pm/4970/1127817
";False;2008
 So hatte sich die Besucherin eines Fitnessclubs  heute Mittag gegen 14.00 Uhr an der Borsigallee ihren Saunagang nicht vorgestellt, als sie den Aufguss aufschüttete fing der Ofen und  anschließend der Saunabereich sofort Feuer. Die Frau flüchtete aus  der Sauna und verständigte andere Besucher. So konnten sich insgesamt 11 Personen selbst ins Freie retten. Es wurde niemand verletzt.  Der  Sachschaden wird auf etwa 100.000 Euro geschätzt. Die genaue  Brandursache steht noch nicht fest.    ;2008-01-30 16:24:00;POL-F: 080130 - 0138 Enkheim:  Saunabrand;"https://www.presseportal.de/blaulicht/pm/4970/1127398
";False;2008
 Kurz nachdem sie ihr Geschäft abgeschlossen  hatten, wurden gestern, gegen 15.00 Uhr, zunächst die Käufer (28 und  32) und wenig später auch der Verkäufer (29) von Zivilbeamten  festgenommen. Darüber hinaus konnte noch die verkaufte Ware - 3 Gramm Heroin sowie  nochmals 310 Gramm Heroin aus einem Erdbunker - sichergestellt.    Die Beamten hatten das Trio zuvor in der Kruppstraße sowie in dem  angrenzenden Waldstück bei ihrem Deal beobachtet und sie einer  Überprüfung unterzogen.    Die beiden Käufer wurden nach der Kontrolle wieder in die Freiheit entlassen. Der 29 Jahre alte wohnsitzlose Verkäufer wird heute dem  Haftrichter vorgeführt.    (Manfred Vonhausen, 069-75582113)    ;2008-01-30 12:02:00;POL-F: 080130 - 0137 Enkheim: Heroinhändler festgenommen;"https://www.presseportal.de/blaulicht/pm/4970/1127083
";False;2008
 Voraussichtlich 48 neue Polizeibeamtinnen und  Polizeibeamte kann das Polizeipräsidium Frankfurt am Main am  01.02.2008 begrüßen.    Die Neuankömmlinge werden nach einer einwöchigen Einweisung in die Besonderheiten der Stadt Frankfurt am Main und der hiesigen  Strukturen die offenen Stellen auf den Revieren und Kommissariaten  besetzen.    Nach der Begrüßung durch die Behördenleitung besteht für  interessierte Medienvertreter am    Freitag, dem 01.02.2008, gg. 08.20 Uhr, Polizeipräsidium, Pforte  Süd,    die Möglichkeit, das Ereignis im Bild festzuhalten. Hierzu sind  alle Medienvertreter herzlich eingeladen.    (Manfred Vonhausen, 069-75582113) ots Originaltext: Polizeipräsidium Frankfurt am Main Digitale Pressemappe: http://www.polizeipresse.de/p_story.htx?firmaid=4970;2008-01-30 11:58:00;POL-F: 080130 - 0136 Frankfurt: Neue Polizeibeamtinnen und Polizeibeamte für Frankfurt;"https://www.presseportal.de/blaulicht/pm/4970/1127069
";False;2008
 Einer Zivilstreife der Frankfurter Polizei fiel  am Dienstag, den 30. Januar 2008, in der Leipziger Straße ein  zunächst Unbekannter auf, der sich bei der Vorbeifahrt eines  Streifenwagens versteckte. Da den Beamten dieses Verhalten auffiel, beobachteten sie den Mann,  der dann aber plötzlich spurlos verschwand. Schließlich hörten sie  gegen 03.10 Uhr Geräusche von einem benachbarten Restaurant. Wie sie  dann feststellen konnten, steckte der Mann im Oberlicht der  Eingangstür fest, das er gewaltsam geöffnet hatte. In etwa zwei Meter Höhe hatte er seinen Körper so eingekeilt, dass er von der Straße  kaum zu sehen war. Der Mann, ein 33-jähriger Wohnsitzloser aus der Ukraine, wurde  festgenommen. Er machte zur Sache keine Angaben.    (Manfred Füllhardt, 069-75582116) ots Originaltext: Polizeipräsidium Frankfurt am Main Digitale Pressemappe: http://www.polizeipresse.de/p_story.htx?firmaid=4970;2008-01-30 11:56:00;POL-F: 080130 - 0135 Bockenheim: Festnahme nach versuchtem Einbruchsdiebstahl in Gaststätte;"https://www.presseportal.de/blaulicht/pm/4970/1127063
";False;2008
 Am Dienstag, den 30. Januar 2008, gegen 02.10  Uhr, fielen der Besatzung einer Funkstreife an der Ecke  Taunusstraße/Weserstraße zwei Männer auf, die sich stritten. Einer  der beiden hatte trotz der herrschenden Witterung seinen Oberkörper  entblößt und war offensichtlich stark alkoholisiert. Zur Klärung des Sachverhaltes sollten beide Personen kontrolliert  werden, woraufhin die beschriebene Person versuchte, zu flüchten. Er  konnte jedoch gestellt werden, was er mit Flüchen gegen die Beamten  quittierte. Schließlich schlug und trat er um sich und versuchte,  Kopfnüsse zu verteilen. Nachdem eine weitere Funkstreifenbesatzung  eingetroffen war gelang es, den Beschuldigten zu fesseln und zum  Revier zu verbringen. Bei ihm handelt es sich um einen 22-jährigen  US-Amerikaner aus Hanau. Nach Durchführung der polizeilichen  Maßnahmen wurde er an die Militärpolizei Darmstadt überstellt.    (Manfred Füllhardt, 069-75582116) ots Originaltext: Polizeipräsidium Frankfurt am Main Digitale Pressemappe: http://www.polizeipresse.de/p_story.htx?firmaid=4970;2008-01-30 11:53:00;POL-F: 080130 - 0134 Bahnhofsviertel: Widerstand gegen Vollstreckungsbeamte;"https://www.presseportal.de/blaulicht/pm/4970/1127060
";False;2008
" Am 28. Januar 2008, gegen 06.30 Uhr betrat ein  noch unbekannter Mann eine Spielothek in der Radilostraße. Der  Unbekannte bedrohte die allein anwesende 23-jährige Kassiererin mit  einer schwarzen Pistole und forderte Geld. Er raubte aus der Kasse einen Bargeldbetrag von mehreren tausend  Euro, verstaute es in einen mitgebrachten Nylonbeutel mit der  Aufschrift ""Löwen Entertainment"" und dem Logo eines blauen runden  Löwenkopfes. Danach flüchtete er aus den Geschäftsräumen.    Der Beschuldigte wurde wie folgt beschrieben:    Vermutlich Südländer, 25 bis 32 Jahre alt, etwa 180 cm groß,  schlank, braune Augen. Er trug blaue Jeans mit Fransen am linken  Hosenbein, einen schwarzen Pullover oder Strickjacke und schwarze  Handschuhe. Er war mit einer schwarzen Sturmhaube maskiert.    Hinweise auf diese Person bitte an die Polizei in Frankfurt,  Telefon 069-755 54510. (Franz Winkler, 069-75582114)    ";2008-01-29 13:12:00;POL-F: 080129 - 0133 Frankfurt-Rödelheim: Raub auf Spielothek;"https://www.presseportal.de/blaulicht/pm/4970/1126531
";False;2008
