Timestamp;Headline;Hauptartikel;Link;Date;Location;Location2;Beschreibung;Place;Author
2019-04-24 12:48:00;Raub auf Bekleidungsgeschäft;" Ein bislang unbekannter Täter betrat am Dienstag, den 23. April 2019, gegen 13.30 Uhr, ein Bekleidungsgeschäft in der Diesterwegstraße.  Mit einem Küchenmesser forderte er von der Verkäuferin ""Geld, alles, was sie haben!"". Zudem bedrohte er eine anwesende Kundin und forderte auch von ihr, die Herausgabe ihres Bargeldes. Mit einer Gesamtsumme von rund 200 EUR verließ er schließlich das Geschäft.  Der Täter wird beschrieben als 20-25 Jahre alt, 175-178 cm groß, von orientalischem Erscheinungsbild. Sehr dünne Gestalt, buschige Augenbrauen. Trug einen schwarzen Kapuzenpulli mit weißer Aufschrift auf der Brust, eine schwarze Hose und schwarze Schuhe. Sprach Deutsch mit leichtem Akzent, gepflegte Erscheinung.    ";https://www.presseportal.de/blaulicht/pm/4970/4253254;2019-04-24 00:00:00;Sachsenhausen;;Frankfurt (ots)  (fue);Frankfurt;fue
2019-04-24 12:05:00;Graffiti gemalt und Drogen zu Hause; Ein junger Mann im Alter von 23 Jahren und sein bislang unbekannter Begleiter sind am Montag von Beamten der AG Siedlung kontrolliert worden, nachdem sie einen Stromkasten mit Graffiti beschmiert haben. In seiner Wohnung fanden die Polizisten Drogen und Aufzuchtequipment für Marihuana.  Die zwei Männer waren in der Miquelanlage auf Fahrrädern unterwegs. Hier entdeckten sie einen Stromkasten, auf dem sie mit Permanentmarkern einen Tag anbrachten. Unmittelbar vor der nun anschließenden Kontrolle gelang es einem der Täter zu fliehen. Der 23-Jährige hingegen stimmte nun einer freiwilligen Wohnungsdurchsuchung in der Innenstadt zu. Hier fanden die Beamten zwei Aufzuchtzelte, sowie entsprechendes Aufzuchtequipment wie Lampen, Erde, Belüftungsgeräte und Töpfe, aber auch 49 Ecstasytabletten und rund 2,8g Amphetamin. Die Beamten stellten alles sicher und entließen denn 23-Jährigen anschließend zu Hause.    ;https://www.presseportal.de/blaulicht/pm/4970/4253182;2019-04-24 00:00:00;Bockenheim;Innenstadt;Frankfurt (ots)  (ne);Frankfurt;ne
2019-04-24 11:48:00;Verdacht der CO-Vergiftung durch Shisharauchen; Drei Frauen und ein Mann sind gestern Nachmittag mit Verdacht auf Kohlenmonoxid-Vergiftung in Krankenhäuser gebracht worden, nachdem sie auf einer Terrasse in der Straße An der Herrenwiese eine Wasserpfeife (Shisha) geraucht haben.  Die Frauen im Alter von 19, 20 und 21 Jahren und ein 25-jähriger Mann hatten sich um 17:00 Uhr zum Shisharauchen zusammengesetzt. Schließlich verloren zwei der Frauen das Bewusstsein. Auch die anderen zwei Raucher fühlten sich sehr unwohl. Die sofort verständigten Rettungskräfte konnten bei allen Personen erhöhte CO-Werte feststellen, so dass die Verletzten umgehend in verschiedene Krankenhäuser gebracht wurden. Eine der Frauen musste mit dem Rettungshubschrauber in eine Düsseldorfer Klinik geflogen werden. Im Zuge der Rettungsmaßnahmen musste die Kreuzung Herrenwiese/Tannenkopfweg zeitweise gesperrt werden. Die Shisha und sämtliches Zubehör wurde sichergestellt.    ;https://www.presseportal.de/blaulicht/pm/4970/4253146;2019-04-24 00:00:00;Goldstein;;Frankfurt (ots)  (ne);Frankfurt;ne
2019-04-23 14:53:00;Versuchtes Tötungsdelikt; Am Ostersonntag (21.04.2019) wurde einem 26-jährigen Mann im Schlaf schwere Kopfverletzungen zugefügt. Am Tag darauf wurde ein 20-jähriger Tatverdächtiger festgenommen.  Gegen 23.00 Uhr wachte der 26-Jährige mit starken Kopfschmerzen in seinem Bett auf und stellte fest, dass er am Kopf blutete. Er wurde umgehend stationär in ein Krankenhaus aufgenommen. Ursächlich für die Kopfverletzungen war augenscheinlich eine Gewalteinwirkung von außen.  Ermittlungen des K11 führten schließlich zu einem 20-jährigen Tatverdächtigen, dem Mitbewohner des Opfers, welcher am Montagabend durch die Bundespolizei am Hauptbahnhof festgenommen wurde. Der mutmaßliche Täter wird noch heute dem Haftrichter vorgeführt. Er wird verdächtigt, dem 26-Jährigen im Schlaf die Kopfverletzungen beigefügt zu haben.    Rückfragen bitte an:  Polizeipräsidium Frankfurt am Main Pressestelle Adickesallee 70 60322 Frankfurt am Main Direkte Erreichbarkeit von Mo. - Fr.: 07:30 Uhr bis 17:00 Uhr Telefon: 069 / 755-82110 (CvD) Fax: 069 / 755-82009 E-Mail: pressestelle.ppffm@polizei.hessen.de Homepage Polizeipräsidium Ffm.: http://www.polizei.hessen.de/ppffm          Original-Content von: Polizeipräsidium Frankfurt am Main, übermittelt durch news aktuell Frankfurt (ots) - (em) Am Karfreitag (19.04.2019) endete ein Streit zweier Frauen um einen Parkplatz, für einen der beiden Ehemänner im Krankenhaus. Gegen 20.30 Uhr wollten zwei Frauen, 40 und 42 Jahre alt, etwa zeitgleich in eine freie Parklücke in der Wächtersbacher Straße einparken. Der Ehemann der ... Frankfurt (ots) - (ka) Letzte Woche Mittwoch (17.04.2019) war ein 51-Jähriger viel zu schnell mit seinem Audi unterwegs. Bei der anschließenden Kontrolle gab es ein Wiedersehen mit dem Polizeibeamten, der ihn bereits vor einigen Monaten anzeigte hatte, weil er ohne Fahrerlaubnis Auto gefahren ist - die Erlaubnis hatte er am Mittwoch erneut nicht. Doch zunächst der ... Frankfurt (ots) - (fue) In den Abendstunden des 21. April 2019 stellte der Halter eines Motorrades, einer Kawasaki Z750, sein Krad in der Jaspertstraße ab. Am 22. April 2019, gegen 22.00 Uhr, musste er schließlich den Diebstahl des Krades feststellen. Die schwarze Kawasaki trägt das amtliche Kennzeichen F-TM 70. ;https://www.presseportal.de/blaulicht/pm/4970/4252376;2019-04-23 00:00:00;Gallus;;Frankfurt (ots)  (em);Frankfurt;em
2019-04-23 14:37:00;Streit um Parkplatz endet in tätlichem Angriff; Am Karfreitag (19.04.2019) endete ein Streit zweier Frauen um einen Parkplatz, für einen der beiden Ehemänner im Krankenhaus.  Gegen 20.30 Uhr wollten zwei Frauen, 40 und 42 Jahre alt, etwa zeitgleich in eine freie Parklücke in der Wächtersbacher Straße einparken. Der Ehemann der 42-jährigen Frau, 41 Jahre alt, beobachtete den Streit vom Fenster des Wohnhauses aus und eilte daraufhin nach draußen, um sich an der Diskussion zu beteiligen. Der Streit um den Parkplatz schaukelte sich hoch, so dass es zwischen den beiden Ehemännern zu einer tätlichen Auseinandersetzung kam. Als der 41-Jährige anschließend wieder ins Haus zurückging, stellte der 45-Jährige fest, dass er im Brust- sowie Halsbereich blutete.  Das Opfer wurde mit Schnitt- und Stichverletzungen stationär in ein Krankenhaus aufgenommen. Der 41-Jährige wurde festgenommen und nach der Durchführung der polizeilichen Maßnahmen in Absprache mit der Justiz wieder entlassen. Die Ermittlungen dauern an.    Rückfragen bitte an:  Polizeipräsidium Frankfurt am Main Pressestelle Adickesallee 70 60322 Frankfurt am Main Direkte Erreichbarkeit von Mo. - Fr.: 07:30 Uhr bis 17:00 Uhr Telefon: 069 / 755-82110 (CvD) Fax: 069 / 755-82009 E-Mail: pressestelle.ppffm@polizei.hessen.de Homepage Polizeipräsidium Ffm.: http://www.polizei.hessen.de/ppffm          Original-Content von: Polizeipräsidium Frankfurt am Main, übermittelt durch news aktuell Frankfurt (ots) - (ka) Letzte Woche Mittwoch (17.04.2019) war ein 51-Jähriger viel zu schnell mit seinem Audi unterwegs. Bei der anschließenden Kontrolle gab es ein Wiedersehen mit dem Polizeibeamten, der ihn bereits vor einigen Monaten anzeigte hatte, weil er ohne Fahrerlaubnis Auto gefahren ist - die Erlaubnis hatte er am Mittwoch erneut nicht. Doch zunächst der ... Frankfurt (ots) - (fue) In den Abendstunden des 21. April 2019 stellte der Halter eines Motorrades, einer Kawasaki Z750, sein Krad in der Jaspertstraße ab. Am 22. April 2019, gegen 22.00 Uhr, musste er schließlich den Diebstahl des Krades feststellen. Die schwarze Kawasaki trägt das amtliche Kennzeichen F-TM 70. ;https://www.presseportal.de/blaulicht/pm/4970/4252342;2019-04-23 00:00:00;Fechenheim;;Frankfurt (ots)  (em);Frankfurt;em
2019-04-23 13:42:00;Unbelehrbarer Autofahrer; Letzte Woche Mittwoch (17.04.2019) war ein 51-Jähriger viel zu schnell mit seinem Audi unterwegs. Bei der anschließenden Kontrolle gab es ein Wiedersehen mit dem Polizeibeamten, der ihn bereits vor einigen Monaten anzeigte hatte, weil er ohne Fahrerlaubnis Auto gefahren ist - die Erlaubnis hatte er am Mittwoch erneut nicht.  Doch zunächst der Reihe nach: Der 51-Jährige fuhr vor einer Streife des Verkehrsdienstes mit fast 140 km/h über die A66, obwohl an dieser Stelle maximal 100 km/h erlaubt sind. Von der A66 ging es weiter auf die Rosa-Luxemburg-Straße in Richtung Norden. Auch hier fuhr der Audi-Fahrer zeitweise 40 km/h zu schnell. Die Polizeibeamten hielten den Mann schließlich, gegen 21.30 Uhr, am Nordwestzentrum an. Einer der Polizeibeamten staunte nicht schlecht. Er hatte den 51-Jährigen bereits im Oktober kontrolliert und festgestellt, dass seine Fahrerlaubnis bis 2020 entzogen wurde.  Demnach hätte er auch dieses Mal nicht am Steuer sitzen dürfen und muss sich neben der Ordnungswidrigkeit des zu schnellen Fahrens auch wegen der Straftat des Fahrens ohne Fahrerlaubnis verantworten. Die Weiterfahrt war für ihn selbstverständlich an dieser Stelle beendet.    Rückfragen bitte an:  Polizeipräsidium Frankfurt am Main Pressestelle Adickesallee 70 60322 Frankfurt am Main Direkte Erreichbarkeit von Mo. - Fr.: 07:30 Uhr bis 17:00 Uhr Telefon: 069 / 755-82110 (CvD) Fax: 069 / 755-82009 E-Mail: pressestelle.ppffm@polizei.hessen.de Homepage Polizeipräsidium Ffm.: http://www.polizei.hessen.de/ppffm          Original-Content von: Polizeipräsidium Frankfurt am Main, übermittelt durch news aktuell Frankfurt (ots) - (fue) In den Abendstunden des 21. April 2019 stellte der Halter eines Motorrades, einer Kawasaki Z750, sein Krad in der Jaspertstraße ab. Am 22. April 2019, gegen 22.00 Uhr, musste er schließlich den Diebstahl des Krades feststellen. Die schwarze Kawasaki trägt das amtliche Kennzeichen F-TM 70. ;https://www.presseportal.de/blaulicht/pm/4970/4252198;2019-04-23 00:00:00;Bundesautobahn;;Frankfurt (ots)  (ka);Frankfurt;ka
2019-04-23 13:10:00;Diebstahl eines Motorrades; In den Abendstunden des 21. April 2019 stellte der Halter eines Motorrades, einer Kawasaki Z750, sein Krad in der Jaspertstraße ab. Am 22. April 2019, gegen 22.00 Uhr, musste er schließlich den Diebstahl des Krades feststellen. Die schwarze Kawasaki trägt das amtliche Kennzeichen F-TM 70.    ;https://www.presseportal.de/blaulicht/pm/4970/4252131;2019-04-23 00:00:00;Preungesheim;;Frankfurt (ots)  (fue);Frankfurt;fue
2019-04-22 13:54:00;Drogen in Unterhose;" In der Nacht von Karfreitag (19.04.2019) auf Samstag (20.04.2019) nahm die Frankfurter Polizei einen 21-jährigen Mann vorläufig fest, da dieser Drogen mit sich führte; in seiner Unterhose.  Gegen 02.00 Uhr nachts waren die Beamten in der Straße Kleine Rittergasse unterwegs, als sie plötzlich einen Cannabis-Geruch wahrnahmen. Die Kontrolle eines 21-Jährigen führte schließlich zum Auffinden von 12 abgepackten Portionen Haschisch. Diese hatte er in seiner Unterhose versteckt.  Die insgesamt etwa 17 Gramm der Droge wurden beschlagnahmt und der Tatverdächtige nach der Durchführung der polizeilichen Maßnahmen wieder entlassen. Die Ermittlungen dauern an.    ";https://www.presseportal.de/blaulicht/pm/4970/4251329;2019-04-22 00:00:00;Sachsenhausen;;Frankfurt (ots)  (em);Frankfurt;em
2019-04-22 13:48:00;Brutale versuchte räuberische Erpressung; Am Ostersonntag (21.04.2019) ging ein 18-Jähriger brutal vor, um an das Geld eines 64-Jährigen zu gelangen. Glücklicherweise war eine Polizeistreife zur Stelle und konnte den Täter festnehmen.  Gegen 09.30 Uhr betrat der 64-Jährige in der Düsseldorfer Straße den Vorraum einer Bank, um Geld abzuheben. Dort wurde er unvermittelt von einem unbekannten Mann bedroht, getreten und zu Boden geschubst. Der Täter forderte die Herausgabe von Bargeld. Als er sich kurz umdrehte, nutzte das Opfer die Unaufmerksamkeit seines Gegenübers und floh aus der Bank. Der Täter verfolgte den 64-Jährigen bis nach draußen und attackierte ihn erneut, bis er zu Boden stürzte. Daraufhin ergriff er das Opfer und schleifte es bis in die Mitte der Straße. Eine Polizeistreife vernahm die Hilfeschreie des 64-jährigen Mannes und eilte sofort herbei. Für den Tatverdächtigen klickten die Handschellen.  Die Beamten trauten ihren Augen kaum. Sie hatten kurz zuvor eine Anzeige wegen Ladendiebstahls aufgenommen, dessen der 18-Jährige verdächtigt wird.  Nach bisherigen Erkenntnissen blieb der 64-jährige Mann unverletzt. Der mutmaßliche Täter wurde in die Haftzellen des Polizeipräsidiums verbracht und wird noch heute dem Haftrichter vorgeführt. Die Ermittlungen dauern an.    ;https://www.presseportal.de/blaulicht/pm/4970/4251326;2019-04-22 00:00:00;Gallus;;Frankfurt (ots)  (em);Frankfurt;em
2019-04-22 13:30:00;Festnahme nach Raub;" Am Karfreitag (19.04.2019) beraubten zwei Personen einen 65-jährigen Mann. Die alarmierte Polizei konnte wenig später zwei Tatverdächtige festnehmen.  Kurz vor 23.00 Uhr befand sich der 65-Jährige auf dem Westendplatz. Plötzlich wurde er von zwei Personen von hinten tätlich angegangen und zu Boden gebracht. Einer der Täter zog ihm das Portemonnaie aus der Gesäßtasche. Anschließend flohen die beiden Räuber über die Rüsterstraße in Richtung Niedenau. Die alarmierte Polizei führte sofort umfangreiche Fahndungsmaßnahmein durch; mit Erfolg. Die Beamten nahmen im Bereich der Straße Neue Niedenau, Ecke Westendstraße einen 16-Jährigen sowie eine 18-jährige Tatverdächtige fest.  Nach bisherigen Erkenntnissen wurde das Opfer nicht verletzt. Die beiden mutmaßlichen Täter wurden nach der Durchführung der polizeilichen Maßnahmen entlassen. Der Minderjährige wurde an seine Erziehungsberechtigten übergeben. Die Ermittlungen dauern an.    ";https://www.presseportal.de/blaulicht/pm/4970/4251311;2019-04-22 00:00:00;Westend;;Frankfurt (ots)  (em);Frankfurt;em
2019-04-22 13:23:00;Volksfest-Besucher mit Drogen im Rucksack festgenommen; In der Samstagnacht (20.04.2019) wurde ein 32-jähriger Mann festgenommen, da er in seinem Rucksack Drogen in nicht geringer Menge mit sich führte.  Gegen 23.10 Uhr fiel der 32-jährige Besucher des Volksfestes in Bornheim den Beamten aufgrund seines nervösen Verhaltens auf. Ihr Bauchgefühl sollte sich wenig später im Rahmen einer Kontrolle bestätigen. In dem Rucksack des Mannes fanden die Beamten kleine Beutelchen, gefüllt mit verschiedenen Drogen. Insgesamt stellten die Polizisten circa 34 Gramm Amphetamin, 18 Tabletten Ecstasy und etwa 2,8 Gramm Crystal Meth sicher. Der 32-Jährige wurde festgenommen.  Nachdem der Tatverdächtige dem Haftrichter vorgeführt wurde, befindet er sich nun in Untersuchungshaft. Die Ermittlungen dauern an.    ;https://www.presseportal.de/blaulicht/pm/4970/4251304;2019-04-22 00:00:00;Bornheim;;Frankfurt (ots)  (em);Frankfurt;em
2019-04-22 13:16:00;Fahrraddieb verirrt sich in Polizeirevier-Innenhof; In der Nacht von Sonntag (21.04.2019) auf Montag (22.04.2019) verirrte sich ein 26-jähriger mutmaßlicher Fahrraddieb in den Innenhof des 8. Polizeireviers. Seine Fahrt war damit beendet.  Gegen 02.15 Uhr nachts fiel den Polizeibeamten ein Fahrradfahrer im Innenhof des Polizeireviers auf. Ein unbekannter Mann drehte dort auf einem Damenrad eine Runde. Als er schließlich den Hof mit dem Zweirad verlassen wollte, kontrollierten die Beamten den jungen Mann. Sie fanden circa 0,52 Gramm Marihuana sowie einen Bolzenschneider bei ihm auf und stellten beides sicher. Zudem stand der 26-Jährige offenkundig unter Drogeneinfluss. Da er keinen Eigentumsnachweis für das Damenfahrrad erbringen konnte, wurde auch dieses sichergestellt. Der Mann wollte wohl ursprünglich auf die andere Mainseite wechseln und hatte sich verfahren.  Nach der Durchführung der polizeilichen Maßnahmen wurde der 26-jährige Tatverdächtige wieder entlassen. Die Ermittlungen dauern an.    ;https://www.presseportal.de/blaulicht/pm/4970/4251302;2019-04-22 00:00:00;Sachsenhausen;;Frankfurt (ots)  (em);Frankfurt;em
