Timestamp;Ueberschrift;Hauptartikel;Link
26.04.2019 – 11:53;POL-F: 190426 - 470 Frankfurt-Nordend: Einbruch in Café;  Frankfurt (ots)  (ne) Ein unbekannter Täter ist gestern Nacht in ein Café am Merianplatz eingebrochen und hat Bargeld entwendet.  Über die Eingangstür gelangte der Täter gewaltsam in den Innenraum, wo er sich das Geld aus dem Verkaufstresen nahm. Anschließend konnte der Einbrecher unerkannt mit seiner Beute entkommen. Die Polizei hat die Ermittlungen dazu aufgenommen.    ;https://www.presseportal.de/blaulicht/pm/4970/4255239
26.04.2019 – 11:53;POL-F: 190426 - 469 Frankfurt-Nieder-Erlenbach: Einbrecher erfolglos geflüchtet;  Frankfurt (ots)  (ka) Gestern Morgen wurde ein Einbrecher, bei dem Versuch in eine Wohnung in der Obere Burggasse einzubrechen, gestört und flüchtete unverrichteter Dinge.  Gegen 08.45 Uhr machte sich der Mann an der Wohnungstür zu schaffen. Auf die Hebelgeräusche aufmerksam geworden, eilte der Bewohner zu der Tür um nachzuschauen. Dies wiederrum hörte der Einbrecher und eilte davon. Der Wohnungsinhaber sah ihn noch über den Innenhof wegrennen.  Der Tatverdächtige kann folgendermaßen beschrieben werden: Männlich, westeuropäisches Erscheinungsbild, etwa 25 Jahre alt, schlanke Statur. Er soll mit einer roten Basecap und einer Jeans bekleidet gewesen sein.  Hinweise nimmt die Polizei unter der Telefonnummer 069/755-52199 entgegen.    ;https://www.presseportal.de/blaulicht/pm/4970/4255235
26.04.2019 – 11:52;POL-F: 190426 - 468 Frankfurt-Nied: Fußgängerin bei Unfall verletzt;  Frankfurt (ots)  (ka) Gestern Vormittag stieß auf der Oeserstraße ein Mercedes mit einer Fußgängerin zusammen. Sie trug durch den Unfall Verletzungen davon.  Der 71-Jährige war, gegen 10.50 Uhr, in seinem Mercedes auf der Oeserstraße in Richtung Stadtmitte unterwegs, als eine 14-Jährige auf die Straße trat und es zum Zusammenstoß zwischen den beiden kam. Die Jugendliche stürzte und zog sich Verletzungen zu. Sie wurde zur Beobachtung in ein Krankenhaus aufgenommen. An dem Mercedes entstand kein Sachschaden.  Die genaue Unfallursache ist Gegenstand der laufenden Ermittlungen.    ;https://www.presseportal.de/blaulicht/pm/4970/4255234
25.04.2019 – 13:44;POL-F: 190425 - 467 Frankfurt-Stadtgebiet: Geschwindigkeitsmessungen;  Frankfurt (ots)  (fue) Auch in der kommenden Woche werden im Frankfurter Stadtgebiet Geschwindigkeitsmessungen durchgeführt. Die Messgeräte stehen im Bereich folgender Örtlichkeiten:  29. April 2019 Züricher Straße, Bundesautobahn 661 Richtung Autobahnkreuz Bad Homburg, Mainzer Landstraße, Bundesautobahn 66 Richtung Autobahnkreuz Frankfurt-Nordwest, Mörfelder Landstraße, Bundesstraße 3 Richtung Preungesheimer Dreieck  30. April 2019 Bundesstraße 43 Anschlussstelle BAB 3, Ludwig-Landmann-Straße, Bundesautobahn 66 Krifteler Dreieck, Hanauer Landstraße, Autobahnkreuz Frankfurt BAB 3/BAB 5, Hugo-Eckener-Ring  01. Mai 2019 Bundesstraße 3 Richtung Preungesheimer Dreieck, Mörfelder Landstraße, Bundesautobahn 661 Richtung Autobahnkreuz Bad Homburg, Mainzer Landstraße, Bundesautobahn 66 Richtung Autobahnkreuz Frankfurt-Nordwest  02. Mai 2019 Mainzer Landstraße, Bundesstraße 3 Richtung Preungesheimer Dreieck, Ludwig-Landmann-Straße, Bundesautobahn 66 Richtung Autobahnkreuz Frankfurt-Nordwest, Mörfelder Landstraße, Bundesautobahn 66 Krifteler Dreieck  03. Mai 2019 Autobahnkreuz Frankfurt BAB 3/BAB 5, Ludwig-Landmann-Straße, Bundesstraße 43 Anschlussstelle BAB 3, Hanauer Landstraße, Bundesautobahn 66 Krifteler Dreieck, Hugo-Eckener-Ring  Die Geschwindigkeitsmessungen werden fortgesetzt.    ;https://www.presseportal.de/blaulicht/pm/4970/4254430
25.04.2019 – 11:42;POL-F: 190425 - 466 Frankfurt-Niederursel: Versuchtes Tötungsdelikt;  Frankfurt (ots)  (ka) Gestern Abend trug ein Mann bei einer Auseinandersetzung in der Niederurseler Landstraße, Ecke Oswaltstraße schwere Stichverletzungen davon.  Nach Streitigkeiten im Vorfeld, traf der 37-jährige Mann an besagter Örtlichkeit einen 18-Jährigen, der, mit einem bislang unbekannten Gegenstand, auf ihn einstach. Der 37-Jährige flüchtete im Anschluss schwer verletzt vor dem Angreifer. Der 18-Jährige wurde von seiner 22-jährigen Komplizin mit dem Auto eingesammelt und konnte so entkommen. Der Verletzte wurde stationär in einem Krankenhaus aufgenommen. Aktuell besteht für ihn keine Lebensgefahr.  Trotz intensiver Fahndungsmaßnahmen, konnte der 18-Jährige nicht festgenommen werden. Polizeibeamte nahmen aber, im Laufe des Abends, die Komplizin in ihrer Wohnung fest und lieferten sie in die Haftzellen des Polizeipräsidiums Frankfurt am Main ein.  Die Kriminalpolizei hat unter anderem die Ermittlungen bezüglich der Hintergründe der Streitigkeiten aufgenommen. Die Fahndung nach dem flüchtigen 18-Jährigen läuft auf Hochtouren.    ;https://www.presseportal.de/blaulicht/pm/4970/4254254
25.04.2019 – 11:31;POL-F: 190425 - 465 Frankfurt-Sachsenhausen: Gute Vorbereitung beim Fahrraddiebstahl;  Frankfurt (ots)  (ne) Auch als Fahrraddieb muss man auf alles vorbereitet sein. Das dachte sich ein bislang unbekannter Langfinger, der gestern Nachmittag versuchte ein Zweirad in der Mörfelder Landstraße zu entwenden.  Ein mit dem Vorderrad angeschlossenes Zweirad wollte der Täter haben. Passenderweise hatte der Unbekannte ein Ersatzvorderrad gleich mitgebracht. So sparte sich der Dieb das Aufbrechen des Schlosses und montierte einfach die Räder um. Doch glücklicherweise hatte er nicht mit der Besitzerin gerechnet, die soeben vorbeikam, als der Täter gerade leise pfeifend mit seiner Beute wegfahren wollte. Sie rief die Polizei, was den Dieb in die Flucht trieb - ohne Fahrrad.  Der Täter war etwa 20-25 Jahre alt, 170 cm groß, hatte schwarze Haare, einen Dreitagebart, war bekleidet mit einer schwarzen Basecap, einem blauen Kapuzenpullover, schwarzer Hose und weißen Sneakern.  Sachdienliche Hinweise nimmt das 8. Polizeirevier unter der Telefonnummer 069/755-10800 sowie jede andere Polizeidienststelle entgegen.    ;https://www.presseportal.de/blaulicht/pm/4970/4254224
24.04.2019 – 13:43;POL-F: 190424 - 464 Frankfurt-Nordend: Jugendliche knacken Roller und fahren damit;  Frankfurt (ots)  (ne) Wegen des besonders schweren Diebstahls eines Rollers, des unbefugten Gebrauchs eines Rollers, der Sachbeschädigung und des Fahrens ohne Fahrerlaubnis haben sich gestern Abend sechs Jugendliche im Nordend verdächtig gemacht.  Zeugen meldeten der Polizei mehrere Jugendliche, die in der Nordendstraße mit einem Motorroller umherfahren würden. Als die Streife am Ort eintraf, konnte sie das Zweirad verlassen dort auffinden. Die detaillierte Personenbeschreibung machte es den Beamten recht einfach die flüchtigen Tatverdächtigen zu finden. Im Zuge der Fahndung nach der Jugendgruppe, trat eine 29-jährige Frau an die Beamten heran, und berichtete von einem soeben versuchten Diebstahl ihres Rucksacks durch eine Jugendgruppe. Die Personenbeschreibungen stimmten deutlich mit denen der vermeintlichen Rollerdiebe überein. Schließlich konnte die Streife sechs Personen im Alter von 12-16 Jahren vorübergehend festnehmen. Die Ermittlungen sollen nun klären, was sich genau zugetragen hatte.    ;https://www.presseportal.de/blaulicht/pm/4970/4253364
24.04.2019 – 12:54;POL-F: 190424 - 463 Frankfurt-Rödelheim: Beim Einparken bestohlen;  Frankfurt (ots)  (fue) Am Dienstag, den 23. April 2019, gegen 22.10 Uhr, parkte eine 22-jährige Frankfurterin ihren Pkw in der Fuchstanzstraße ein. Plötzlich öffnete ein bislang unbekannter Täter die Beifahrertür und entwendete eine auf dem Sitz befindliche Tragetasche und eine Lederjacke der Marke Only. Der Täter flüchtete über einen Hinterhof in unbekannte Richtung. In der blauen Tragetasche mit Apothekensymbol befanden sich Sneaker der Marke Nike und ein Paar Trekkingschuhe.  Täterbeschreibung: 20-25 Jahre alt und 160-170 cm groß. Dunkle, kurze Haare, dickliche Figur. Trug eine schwarze Jacke mit weißen Applikationen und eine dunkle Hose.    ;https://www.presseportal.de/blaulicht/pm/4970/4253266
24.04.2019 – 12:51;POL-F: 190424 - 462 Frankfurt-Fechenheim: Wohnungseinbruch;  Frankfurt (ots)  (fue) Am Dienstag, den 23. April 2019, etwa gegen 17.00 Uhr, drangen bislang unbekannte Täter gewaltsam in die Erdgeschosswohnung eines Hauses in der Dieburger Straße ein. Sie durchsuchten sämtliche Räume und entwendeten zwei kleinere Möbeltresore in denen sich neben Bargeld (ca. 4.000 EUR) noch verschiedene persönliche Unterlagen befanden. Bewohnern des Hauses fielen im Treppenhaus zu dem genannten Zeitpunkt zwei Personen auf, bei denen es sich vermutlich um die Täter handelte. Diese werden wie folgt beschrieben:  1. Täter: Etwa 35 Jahre alt und ca. 175 cm groß. Südländisches Erscheinungsbild, kräftige Figur, dunkle Haare und Vollbart. Trug ein weißes T-Shirt und eine graue Arbeitshose.  2. Täter: Etwa 35 Jahre alt und ca. 180 cm groß. Südländisches Erscheinungsbild, kräftige Figur und dunkle Haare. Trug ein rotes T-Shirt und eine blaue Latzhose.    ;https://www.presseportal.de/blaulicht/pm/4970/4253262
24.04.2019 – 12:48;POL-F: 190424 - 461 Frankfurt-Sachsenhausen: Raub auf Bekleidungsgeschäft;"  Frankfurt (ots)  (fue) Ein bislang unbekannter Täter betrat am Dienstag, den 23. April 2019, gegen 13.30 Uhr, ein Bekleidungsgeschäft in der Diesterwegstraße.  Mit einem Küchenmesser forderte er von der Verkäuferin ""Geld, alles, was sie haben!"". Zudem bedrohte er eine anwesende Kundin und forderte auch von ihr, die Herausgabe ihres Bargeldes. Mit einer Gesamtsumme von rund 200 EUR verließ er schließlich das Geschäft.  Der Täter wird beschrieben als 20-25 Jahre alt, 175-178 cm groß, von orientalischem Erscheinungsbild. Sehr dünne Gestalt, buschige Augenbrauen. Trug einen schwarzen Kapuzenpulli mit weißer Aufschrift auf der Brust, eine schwarze Hose und schwarze Schuhe. Sprach Deutsch mit leichtem Akzent, gepflegte Erscheinung.    ";https://www.presseportal.de/blaulicht/pm/4970/4253254
24.04.2019 – 12:05;POL-F: 190424 - 460 Frankfurt-Bockenheim/Innenstadt: Graffiti gemalt und Drogen zu Hause;  Frankfurt (ots)  (ne) Ein junger Mann im Alter von 23 Jahren und sein bislang unbekannter Begleiter sind am Montag von Beamten der AG Siedlung kontrolliert worden, nachdem sie einen Stromkasten mit Graffiti beschmiert haben. In seiner Wohnung fanden die Polizisten Drogen und Aufzuchtequipment für Marihuana.  Die zwei Männer waren in der Miquelanlage auf Fahrrädern unterwegs. Hier entdeckten sie einen Stromkasten, auf dem sie mit Permanentmarkern einen Tag anbrachten. Unmittelbar vor der nun anschließenden Kontrolle gelang es einem der Täter zu fliehen. Der 23-Jährige hingegen stimmte nun einer freiwilligen Wohnungsdurchsuchung in der Innenstadt zu. Hier fanden die Beamten zwei Aufzuchtzelte, sowie entsprechendes Aufzuchtequipment wie Lampen, Erde, Belüftungsgeräte und Töpfe, aber auch 49 Ecstasytabletten und rund 2,8g Amphetamin. Die Beamten stellten alles sicher und entließen denn 23-Jährigen anschließend zu Hause.    ;https://www.presseportal.de/blaulicht/pm/4970/4253182
24.04.2019 – 11:48;POL-F: 190424 - 459 Frankfurt-Goldstein: Verdacht der CO-Vergiftung durch Shisharauchen;  Frankfurt (ots)  (ne) Drei Frauen und ein Mann sind gestern Nachmittag mit Verdacht auf Kohlenmonoxid-Vergiftung in Krankenhäuser gebracht worden, nachdem sie auf einer Terrasse in der Straße An der Herrenwiese eine Wasserpfeife (Shisha) geraucht haben.  Die Frauen im Alter von 19, 20 und 21 Jahren und ein 25-jähriger Mann hatten sich um 17:00 Uhr zum Shisharauchen zusammengesetzt. Schließlich verloren zwei der Frauen das Bewusstsein. Auch die anderen zwei Raucher fühlten sich sehr unwohl. Die sofort verständigten Rettungskräfte konnten bei allen Personen erhöhte CO-Werte feststellen, so dass die Verletzten umgehend in verschiedene Krankenhäuser gebracht wurden. Eine der Frauen musste mit dem Rettungshubschrauber in eine Düsseldorfer Klinik geflogen werden. Im Zuge der Rettungsmaßnahmen musste die Kreuzung Herrenwiese/Tannenkopfweg zeitweise gesperrt werden. Die Shisha und sämtliches Zubehör wurde sichergestellt.    ;https://www.presseportal.de/blaulicht/pm/4970/4253146
