Hauptartikel;Timestamp;Ueberschrift;Link;Old;Year;Ort;Sekundaerer Ort;Loc1;Loc2;Loc3;Loc4;Author;Ueberschrift_clean;Ueberschrift_lem;Ueberschrift_lem_no_stop;Ueberschrift_split;Ueberschrift_clean2;Ueberschrift_lem2;Ueberschrift_lem_clean2;Ueberschrift_lem_clean_no_stop;Ueberschrift_kombi;Hauptartikel_clean;Hauptartikel_lem;Hauptartikel_lemm_clean;Hauptartikel_lem_clean_no_stop
 Nachmittagsmeldung zum Polizeibericht vom 29.01.2001 ;2001-01-29 19:54:00;polizei frankfurt, nachmittagsmeldung;"https://www.presseportal.de/blaulicht/pm/4970/215652
";False;2001;polizei;frankfurt,;;;;;;polizei frankfurt  nachmittagsmeldung;polizei frankfurt   nachmittagsmeldung;nachmittagsmeldung;Nachmittags Meldung                  ;nachmittags meldung                  ;nachmittags meldung                  ;nachmittags meldung                  ;nachmittags meldung;nachmittags meldung nachmittagsmeldung; nachmittagsmeldung zum polizeibericht vom   ;  nachmittagsmeldung zum polizeibericht vom   ;  nachmittagsmeldung zum polizeibericht vom   ;nachmittagsmeldung polizeibericht
 Foto Vorderseite der Jacke;2001-05-09 14:04:00;zu polizeibericht;"https://www.presseportal.de/blaulicht/pm/4970/247349
";False;2001;zu;polizeiberich;;;;;;zu polizeibericht;zu polizeibericht;polizeibericht;Polizei Bericht                  ;polizei bericht                  ;polizei bericht                  ;polizei bericht                  ;bericht;bericht polizeibericht; foto vorderseite der jacke;  foto vorderseite der jacke;  foto vorderseite der jacke;foto vorderseite jacke
 Foto 3 zur Meldung ;2001-06-07 14:39:00;foto  zur meldung;"https://www.presseportal.de/blaulicht/pm/4970/255335
";False;2001;foto;;;;;;;foto  zur meldung;foto   zur meldung;foto meldung;Foto                     ;foto                     ;foto                     ;foto                     ;foto;foto foto meldung; foto   zur meldung ;  foto    zur meldung;  foto    zur meldung;foto meldung
 Foto Nr. 2 zu Meldung ;2001-06-07 14:35:00;foto nr.  zu meldung;"https://www.presseportal.de/blaulicht/pm/4970/255333
";False;2001;foto;nr.;;;;;;foto nr   zu meldung;foto nr    zu meldung;foto nr meldung;Foto  Nr                   ;foto  nr                   ;foto   nr                   ;foto   nr                   ;foto nr;foto nr foto nr meldung; foto nr    zu meldung ;  foto nr     zu meldung;  foto nr     zu meldung;foto nr meldung
 Bitte drittes Bild in diesem Fall beachten.;2001-08-10 12:40:00;frankfurt am main :  totes mädchen aus dem main   polizei stellt weitere fahndungsfragen (bild );"https://www.presseportal.de/blaulicht/pm/4970/272889
";False;2001;am;main;;;;;;frankfurt am main    totes mädchen aus dem main   polizei stellt weitere fahndungsfragen  bild  ;frankfurt am main     tot mädchen aus der main    polizei stellen weit fahndungsfragen   bild  ;tot mädchen fahndungsfragen bild;Tot      Fahndungs Fragen Bild             ;tot      fahndungs fragen bild             ;tot       fahndungs fragen bild             ;tot       fahndungs fragen bild             ;tot fahndungs fragen bild;tot fahndungs fragen bild tot mädchen fahndungsfragen bild; bitte drittes bild in diesem fall beachten ;  bitte dritt bild in dies fall beachten;  bitte dritt bild in dies fall beachten;dritt bild beachten
 Bitte Bild zwei Beachten, drittes Bild folgt.;2001-08-10 12:37:00;frankfurt am main :  totes mädchen aus dem main   polizei stellt weitere fahndungsfragen (bild );"https://www.presseportal.de/blaulicht/pm/4970/272886
";False;2001;am;main;;;;;;frankfurt am main    totes mädchen aus dem main   polizei stellt weitere fahndungsfragen  bild  ;frankfurt am main     tot mädchen aus der main    polizei stellen weit fahndungsfragen   bild  ;tot mädchen fahndungsfragen bild;Tot      Fahndungs Fragen Bild             ;tot      fahndungs fragen bild             ;tot       fahndungs fragen bild             ;tot       fahndungs fragen bild             ;tot fahndungs fragen bild;tot fahndungs fragen bild tot mädchen fahndungsfragen bild; bitte bild zwei beachten  drittes bild folgt ;  bitte bild zwei beachten   dritt bild folgen;  bitte bild zwei beachten   dritt bild folgen;bild beachten dritt bild folgen
 Es wird um Beachtung des Bildanhangs gebeten.;2001-08-01 15:33:00;weiteres bild zu der aufgefundenen leiche im main;"https://www.presseportal.de/blaulicht/pm/4970/270553
";False;2001;weiteres;bild;;;;;;weiteres bild zu der aufgefundenen leiche im main;weit bild zu der aufgefunden leiche im main;bild aufgefunden leiche;Bild  Auf Gefunden                  ;bild  auf gefunden                  ;bild   auf finden                  ;bild   auf finden                  ;bild;bild bild aufgefunden leiche; es wird um beachtung des bildanhangs gebeten ;  ich werden um beachtung der bildanhangs gebeten;  ich werden um beachtung der bildanhangs gebeten;beachtung bildanhangs gebeten
 Nachmittagsmeldung zum Polizeibericht vom 13.09.2001 ;2001-09-13 14:58:00;nmm  nachmittagsmeldung zum polizeibericht vom ..;"https://www.presseportal.de/blaulicht/pm/4970/282388
";False;2001;nmm;;;;;;;nmm  nachmittagsmeldung zum polizeibericht vom  ;nmm   nachmittagsmeldung zum polizeibericht vom  ;nmm nachmittagsmeldung polizeibericht;Nmm  Nachmittags Meldung Polizei Bericht              ;nmm  nachmittags meldung polizei bericht              ;nmm   nachmittags meldung polizei bericht              ;nmm   nachmittags meldung polizei bericht              ;nmm nachmittags meldung bericht;nmm nachmittags meldung bericht nmm nachmittagsmeldung polizeibericht; nachmittagsmeldung zum polizeibericht vom   ;  nachmittagsmeldung zum polizeibericht vom   ;  nachmittagsmeldung zum polizeibericht vom   ;nachmittagsmeldung polizeibericht
 Nachtrag zur Meldung Nr.;2001-09-13 14:58:00;nmm  nachmittagsmeldung zum polizeibericht vom ..;"https://www.presseportal.de/blaulicht/pm/4970/282388
";False;2001;nmm;;;;;;;nmm  nachmittagsmeldung zum polizeibericht vom  ;nmm   nachmittagsmeldung zum polizeibericht vom  ;nmm nachmittagsmeldung polizeibericht;Nmm  Nachmittags Meldung Polizei Bericht              ;nmm  nachmittags meldung polizei bericht              ;nmm   nachmittags meldung polizei bericht              ;nmm   nachmittags meldung polizei bericht              ;nmm nachmittags meldung bericht;nmm nachmittags meldung bericht nmm nachmittagsmeldung polizeibericht; nachtrag zur meldung nr ;  nachtrag zur meldung nr;  nachtrag zur meldung nr;meldung nr
 Weiteres Foto zu diesem Bericht;2001-10-25 13:27:00;niederrad :  überfall auf geldbote   fluchtfahrzeug aufgefunden;"https://www.presseportal.de/blaulicht/pm/4970/294529
";False;2001;niederrad;;;;;;;niederrad    überfall auf geldbote   fluchtfahrzeug aufgefunden;niederrad     überfall auf geldbote    fluchtfahrzeug auffinden;niederrad überfall geldbote fluchtfahrzeug auffinden;Nieder Rad Über Fall Geld Bote Flucht Fahrzeug Auf Finden          ;nieder rad über fall geld bote flucht fahrzeug auf finden          ;nieder rad über fall geld bote fluchen fahrzeug auf finden          ;nieder rad über fall geld bote fluchen fahrzeug auf finden          ;nieder rad geld bote fluchen fahrzeug;nieder rad geld bote fluchen fahrzeug niederrad überfall geldbote fluchtfahrzeug auffinden; weiteres foto zu diesem bericht;  weit foto zu dies bericht;  weit foto zu dies bericht;foto bericht
