Hauptartikel;Timestamp;Ueberschrift;Link;Old;Year
" Nachdem es am 26.01.15 im Rahmen eines angemeldeten Aufzuges an der Frankfurter Hauptwache zu starken Gegenprotesten mit teils gewalttätigem Verlauf gekommen war, rechnet die Frankfurter Polizei anlässlich der für den kommenden Montag angemeldeten Versammlung von ""Pegida Frankfurt Rhein-Main"" erneut mit derartigen Gegenprotesten. Der für den 26.01.15 angemeldete und durch die Versammlungsbehörde der Stadt Frankfurt am Main genehmigte Aufzug von ""Pegida Frankfurt Rhein-Main"" war durch die Veranstalterin zu einer Kundgebung gewandelt worden, nachdem sie sich mit starken und teilweise aggressiven Gegenprotesten konfrontiert sah. Aus den Reihen des Gegenprotestes waren dann Steine, Feuerwerkskörper, Flaschen, Farbbeutel, Eier und sogar Stühle auf die Versammlungsteilnehmer und die zur Trennung eingesetzten Polizeibeamten geworfen worden. Nach Beendigung der Kundgebung wurden unter anderem Einsatzkräfte der Polizei mit Flaschen mit vermutlich Buttersäure beworfen, so dass allein hierdurch 15 Beamte verletzt wurden. Insgesamt wurden 27 Polizeibeamte bei den Einsatzmaßnahmen verletzt, eine Gegendemonstrantin wurde durch einen Versammlungsteilnehmer verletzt. Dazu der Frankfurter Polizeipräsident Gerhard Bereswill: ""Wir haben am 26.01.15 feststellen müssen, dass der Gegenprotest an der Frankfurter Hauptwache in Teilen gewalttätig verlief. Ich rechne auch am kommenden Montag wieder mit ähnlichen Szenarien. Daher appelliere ich nochmals an alle Teilnehmer der Versammlung und des Gegenprotestes, ihr Recht auf Versammlungsfreiheit friedlich auszuüben. Die Frankfurter Polizei wird in neutraler Funktion ihrer Aufgabe nachkommen und friedliche Versammlungen schützen. Gegen Straftäter wird die Polizei konsequent einschreiten."" Die Polizei wird am Montag, den 02.02.15, wieder ein mobiles Presseteam am Veranstaltungsort einsetzen.  ";2015-01-30 13:09:00;POL-F: 150130 - 81 Frankfurt-Innenstadt: Demonstrationen und Veranstaltungen im Stadtgebiet am 02.02.15;"https://www.presseportal.de/blaulicht/pm/4970/2938812
";False;2015
 Zeugen teilten am Donnerstag, den 29. Januar 2015, gegen 23.00 Uhr, dem Notruf der Polizei mit, dass in der Ronneburgstraße ein VW Polo geparkt stünde, aus dem heraus Schüsse in die Luft abgegeben würden. Schließlich habe sich das Fahrzeug entfernt. Nur kurze Zeit später gingen erneut Anrufe beim Polizeinotruf ein, die besagten, dass im Zeilweg ein VW Polo stünde, in dem sich ein Pärchen lautstark streite. In beiden Fällen gaben die Zeugen das gleiche Kennzeichen für den Polo an. Die Funkstreife konnte den Polo dann im Zeilweg, in Höhe der U-Bahnstation Zeilweg antreffen. In dem Wagen saß das bereits durch die Zeugen beschriebene Pärchen, welches sich gerade eine körperliche Auseinandersetzung lieferte. Auf dem Fahrersitz befand sich ein 22 Jahre alter Frankfurter, daneben die Halterin des Wagens, eine 21-jährige Frankfurterin. Auf dem Beifahrersitz fand sich schließlich auch die benutzte Waffe. Es handelt sich dabei um eine Schreckschusspistole der Marke Walther, aus der offensichtlich sieben Schüsse abgegeben worden waren. Im Waffenkoffer befanden sich noch weitere 41 Schuss Munition. Eine waffenrechtliche Erlaubnis konnte der 22-Jährige nicht vorlegen.  ;2015-01-30 12:28:00;POL-F: 150130 - 80 Frankfurt-Preungesheim/Heddernheim: Zeugen hören Schüsse;"https://www.presseportal.de/blaulicht/pm/4970/2938730
";False;2015
 Am Donnerstag, den 29. Januar 2015, gegen 17.00 Uhr, kletterte ein 33-jähriger Frankfurter auf den Fenstersims seiner im ersten Stock eines Mehrfamilienhauses in der Schloßstraße gelegenen Wohnung. Zeugen sagten später aus, dass der Mann dabei ausrutschte, sich aber zunächst noch am Fensterbrett festhalten konnte. Erst als seine Kräfte nachließen, stürzte er auf den vor dem Haus befindlichen Gehweg. Der 33-Jährige verletzte sich dabei so schwer, dass er in ein Krankenhaus verbracht und dort aufgenommen werden musste. Die bislang durchgeführten Ermittlungen brachten zwar keine Erkenntnis über die Motivation des Mannes, jedoch kann eine Beteiligung Dritter ausgeschlossen werden.  ;2015-01-30 12:28:00;POL-F: 150130 - 79 Frankfurt-Bockenheim: Fenstersturz;"https://www.presseportal.de/blaulicht/pm/4970/2938726
";False;2015
 Um eine Kollision mit einem entgegenkommenden Fahrzeug zu verhindern, musste ein Straßenbahnfahrer am Mittwochabend eine Vollbremsung einleiten. Eine 36-jährige Frau fiel dadurch zu Boden und verletzte sich am Kopf. Der dafür verantwortliche Autofahrer flüchtete. Zwischen 18.59 Uhr und 19.05 Uhr fuhr die Straßenbahn der Linie 21 im Bereich Mainzer Landstraße / Schwalbacher Straße in Richtung Nied. Nach derzeitigem Kenntnisstand kam in diesem Kreuzungsbereich plötzlich ein Fahrzeug aus einer Einfahrt und fuhr auf der linken Fahrbahnseite, bis es in einem großen Bogen nach rechts auf die Mainzer Landstraße in Richtung Innenstadt abbog. Bei diesem Fahrmanöver ist das Fahrzeug auf die Gleise gekommen und direkt auf die Straßenbahn zugefahren. Nur durch eine Vollbremsung des PKW-Fahrers und des Straßenbahnfahrers konnte ein Zusammenstoß verhindert werden. Anschließend wendete das Fahrzeug und flüchtete auf der Mainzer Landstraße in Richtung Nied. Die in der Straßenbahn gestürzte Frau wurde in ein Krankenhaus gebracht, konnte es aber nach ambulanter Behandlung am selben Tag wieder verlassen. Schaden an den Fahrzeugen entstand nicht. Die Polizei fahndet nach dem Fahrzeug und dem Fahrer. Es soll sich um einen dunklen BMW X3 oder X5 gehandelt haben, der zum Tatzeitpunkt mit zwei Männern besetzt gewesen sein soll. Der Fahrer soll ca. 30 bis 45 Jahre alt gewesen sein und eine Glatze haben. Zeugenhinweise nimmt das 16. Polizeirevier unter 069/755-11600 entgegen.  ;2015-01-29 15:49:00;POL-F: 150129 - 78 Bahnhofsviertel: Frau durch Vollbremsung in Straßenbahn verletzt - Zeugen gesucht!;"https://www.presseportal.de/blaulicht/pm/4970/2938055
";False;2015
 Auch in der kommenden Woche werden im Frankfurter Stadtgebiet Geschwindigkeitsmessungen durchgeführt. Die Messgeräte stehen im Bereich folgender Örtlichkeiten: 02. Februar 2015 Hugo-Eckener-Ring, Autobahnkreuz Frankfurt BAB A3/BAB A5, BAB A66 Fahrtrichtung Autobahnkreuz Nordwest, BAB A661 Fahrtrichtung Autobahnkreuz Bad Homburg, Gerbermühlstraße, Züricher Straße 03. Februar 2015  Bundesstraße 43 Anschlussstelle BAB A3, Babenhäuser Landstraße, Ludwig-Landmann-Straße, Hanauer Landstraße, Autobahnkreuz Frankfurt BAB A3/BAB A5, Züricher Straße 04. Februar 2015 BAB A661 Fahrtrichtung Autobahnkreuz Offenbach, Hugo-Eckener-Ring, Autobahnkreuz Frankfurt BAB A3/BAB A5, Gerbermühlstraße, Mainzer Landstraße, Bundesstraße 43 Anschlussstelle BAB A3 05. Februar 2015 Autobahnkreuz Frankfurt BAB A3/BAB A5, Babenhäuser Landstraße, Hanauer Landstraße, Mainzer Landstraße, BAB A66 Fahrtrichtung Autobahnkreuz Nordwest, BAB A661 Fahrtrichtung Autobahnkreuz Bad Homburg 06. Februar 2015 Mainzer Landstraße, Hugo-Eckener-Ring, Autobahnkreuz Frankfurt BAB A3/BAB A5, Babenhäuser Landstraße, Bundesstraße 43 Anschlussstelle BAB A3, BAB A661 Fahrtrichtung Autobahnkreuz Offenbach Die Geschwindigkeitsmessungen werden fortgesetzt.  ;2015-01-29 12:07:00;POL-F: 150129 - 77 Frankfurt-Stadtgebiet: Geschwindigkeitsmessungen;"https://www.presseportal.de/blaulicht/pm/4970/2937671
";False;2015
 Ein 19-jähriger aus Heusenstamm ging am Mittwoch, den 28. Januar 2015, gegen 21.30 Uhr, zu Fuß auf dem Weg zwischen der Luthmerstraße und dem S-Bahnhof-Nied entlang. Dabei wurde er von einem unbekannten Täter angesprochen, der drohte, ihm den Arm zu brechen, sollte er nicht sein Handy herausgeben. Mit seiner Beute, einem Samsung Galaxy Note 4, flüchtete der Täter in unbekannte Richtung. Er wird beschrieben als 20-30 Jahre alt und etwa 180 cm groß. Möglicherweise Türke, 3-Tagebart, schwarze Haare, sprach gutes Deutsch mit leichtem Akzent. Bekleidet mit olivfarbenen Kapuzenpulli, schwarzer Jacke, Bluejeans, dunklen Sneakers.  ;2015-01-29 12:06:00;POL-F: 150129 - 76 Nied: Handy geraubt;"https://www.presseportal.de/blaulicht/pm/4970/2937668
";False;2015
 Am Mittwoch, den 28. Januar 2015, gegen 13.15 Uhr, nahm eine 45-jährige Geschädigte Hebelgeräusche aus dem Wohnzimmer ihrer Wohnung in der Jacobystraße wahr. Als sie sich ins Wohnzimmer begab, sah sie sich einer unbekannten Frau gegenüber, die sofort die Flucht durch die geöffnete Terrassentür antrat. Die Geschädigte konnte noch angeben, dass die Täterin durch den Garten in Richtung Parlamentsplatz rannte. Wie sich später herausstellte, hatte die Unbekannte die Terrassentür aufgehebelt und war so in die Wohnung gelangt. Die Einbrecherin wird beschrieben als etwa 30 Jahre alt und 160-165 cm groß. Südosteuropäisches Erscheinungsbild, rundliches Gesicht, schwarze Haare, zum Pferdeschwanz gebunden. Trug eine schwarze Jacke mit weißem Kunstfellbesatz und eine dunkle Hose.  ;2015-01-29 12:06:00;POL-F: 150129 - 75 Ostend: Versuchter Wohnungseinbruchdiebstahl;"https://www.presseportal.de/blaulicht/pm/4970/2937667
";False;2015
 Der bei dem Verkehrsunfall am Dienstag, 27.01.2015, auf der Bundesautobahn A5 mit Fahrtrichtung Darmstadt schwer verletzte 52-jährige Fahrzeugführer des unfallbeteiligten VW Golf ist am gestrigen frühen Abend im Krankenhaus seinen Verletzungen erlegen. Bei dem Verkehrsunfall war der Audi A6 eines 47 Jahre alten Mannes bei hoher Geschwindigkeit auf der linken der vier Fahrspuren außer Kontrolle geraten, nach rechts über alle Fahrstreifen der BAB 5 geschleudert und dann in das Fahrzeugheck des VW Golf geprallt. Die weiteren polizeilichen Ermittlungen zu dem Verkehrsunfall dauern noch an.  ;2015-01-29 12:04:00;POL-F: 150129 - 74 Bundesautobahn 5: Nachtrag zur Meldung 150127 - 72 BAB 5: Auffahrunfall mit schwerverletzter Person;"https://www.presseportal.de/blaulicht/pm/4970/2937664
";False;2015
 Zwei mutmaßliche Buntmetalldiebe konnten Beamte des 18. Polizeireviers am Mittwochabend auf einem Abbruchgelände in der Gwinnerstraße vorläufig festnehmen. Ein Wachdienst hatte gegen 21.15 Uhr die beiden illegal auf dem Gelände schaffenden Männer bemerkt und der Polizei gemeldet. Wie sich später herausstellte war der Zaun auf der Rückseite des Geländes aufgeschnitten, durch die Öffnung fuhren die Täter mit einem Kleintransporter mit Ausfuhrkennzeichen schließlich rein. Hier konnte auch der Transporter angehalten werden, als er gerade das Gelände wieder verließ. Auf der Ladefläche fanden die Beamten etwa 50 Kilogramm in Teilstücke geschnittenes Starkstromkabel sowie 50 Liter Diesel in diversen Kanister. Die beiden 26 und 28 Jahre alten und aus Rumänien stammenden Männer kamen in das Polizeigewahrsam.  ;2015-01-29 12:03:00;POL-F: 150129 - 73 Seckbach: Buntmetalldiebe erwischt;"https://www.presseportal.de/blaulicht/pm/4970/2937663
";False;2015
" Seitdem der 50-jährige Oliver F. am 03.01.2014 von der Polizei tot im Hauseingang eines Bürogebäudes in der Walter-Kolb-Straße aufgefunden wurde, liefen die Ermittlungen auf Hochtouren. Nach knapp einjähriger Arbeit der Sonderkommission ""Walter"", in der zweitweise über 40 Mitarbeiter ermittelten, gehen die Ermittlungsbehörden davon aus, dass der Frankfurter Geschäftsmann von einem 43-jährigen Kroaten im Auftrag eines ehemaligen Geschäftspartners erschossen wurde. Bereits kurz nach der Tat gab es aufgrund verschiedener Hinweise einen Anfangsverdacht gegen einen 47-jährigen Mann, der mit dem Mordopfer aufgrund vergangener Geschäftsbeziehungen in finanzielle Streitigkeiten verwickelt gewesen sein und die Tat in Auftrag gegeben haben soll. Nach umfangreichen Ermittlungen im In- und Ausland und über 350 durchgeführten Zeugenvernehmungen erhärtete sich der Verdacht, dass der 47-Jährige bereits Mitte 2013 den mutmaßlichen Schützen mit der Tötung des Oliver F. beauftragt und hierzu Vorbereitungen getroffen hatte. Kurz vor der Tat setzte sich der Auftraggeber ins Ausland ab, während der mutmaßliche Schütze auf eine Gelegenheit zur Tatausführung wartete. Nach der Ermordung von Oliver F. wurde der mutmaßliche Schütze aufgrund eines bestehenden Haftbefehls wegen einer anderen Straftat festgenommen und saß seither in Untersuchungshaft. Zwischenzeitlich erließ das Amtsgericht Frankfurt am Main aufgrund der lückenlosen Ermittlungsergebnisse auf Antrag der Staatsanwaltschaft einen Haftbefehl wegen Mordes gegen den mutmaßlichen Schützen. Nach dem Auftraggeber wird gefahndet: Gesucht wird der serbische Staatsbürger Aleksander DAVIDOFF, geboren am 03.05.1967 in Zemun/Serbien (siehe beigefügtes Foto). Hinweise nimmt der Kriminaldauerdienst des Polizeipräsidiums Frankfurt am Main unter 069/755 53111 oder jede andere Polizeidienststelle entgegen. Bisherige Pressemeldungen in dieser Sache: Nr. 10 und 11 vom 03./04.01.2014. Weitere Presseauskünfte erteilt die Staatsanwaltschaft Frankfurt am Main unter 069/1367 8450.  ";2015-01-28 13:45:00;POL-F: 150128 - 75 Frankfurt: Mord an Oliver F. geklärt -  Öffentlichkeitsfahndung nach dem Anstifter - Foto beachten! Gemeinsame Presseerklärung der Staatsanwaltschaft Frankfurt und der Polizei Frankfurt;"https://www.presseportal.de/blaulicht/pm/4970/2936936
";False;2015
