Address;AddressFM;location;point;Lat;Long
Abflugring;Frankfurt am Main Abflugring;Abflugring, Flughafen, Frankfurt, Regierungsbezirk Darmstadt, Hessen, 60549, Deutschland;50.0521337, 8.5762553, 0.0;500.521.337;85.762.553
Abtsgäßchen;Frankfurt am Main Abtsgäßchen;Abtsgäßchen, Sachsenhausen, Sachsenhausen Nord, Frankfurt, Regierungsbezirk Darmstadt, Hessen, 60594, Deutschland;50.1044626, 8.6888205, 0.0;501.044.626;86.888.205
Achenbachstraße;Frankfurt am Main Achenbachstraße;Achenbachstraße, Sachsenhausen, Sachsenhausen Nord, Frankfurt, Regierungsbezirk Darmstadt, Hessen, 60596, Deutschland;50.0974901, 8.676911, 0.0;500.974.901;8.676.911
Ackermannstraße;Frankfurt am Main Ackermannstraße;Ackermannstraße, Friedrich-Ebert-Siedlung, Europaviertel, Gallus, Frankfurt, Regierungsbezirk Darmstadt, Hessen, 60326, Deutschland;50.0965315, 8.62789, 0.0;500.965.315;862.789
Adalbert-Stifter-Straße;Frankfurt am Main Adalbert-Stifter-Straße;Adalbert-Stifter-Straße, Dornbusch, Frankfurt, Regierungsbezirk Darmstadt, Hessen, 60431, Deutschland;50.1450315, 8.663405, 0.0;501.450.315;8.663.405
Adalbertstraße;Frankfurt am Main Adalbertstraße;Adalbertstraße, Bockenheim, Frankfurt, Regierungsbezirk Darmstadt, Hessen, 60486, Deutschland;50.1191548, 8.6434582, 0.0;501.191.548;86.434.582
Adam-Heinstadt-Straße;Frankfurt am Main Adam-Heinstadt-Straße;Adam-Heinstadt-Straße, Nieder-Eschbach, Frankfurt, Regierungsbezirk Darmstadt, Hessen, 60437, Deutschland;50.2002416, 8.6623236, 0.0;502.002.416;86.623.236
Adam-Leis-Straße;Frankfurt am Main Adam-Leis-Straße;Adam-Leis-Straße, Heddernheim, Frankfurt, Regierungsbezirk Darmstadt, Hessen, 60439, Deutschland;50.1650839, 8.6391034, 0.0;501.650.839;86.391.034
Adam-Opel-Straße;Frankfurt am Main Adam-Opel-Straße;Adam-Opel-Straße, Fechenheim, Frankfurt, Regierungsbezirk Darmstadt, Hessen, 60386, Deutschland;50.1241403, 8.7564444, 0.0;501.241.403;87.564.444
Adam-Riese-Platz;Frankfurt am Main Adam-Riese-Platz;Adam-Riese-Platz, Gallus, Frankfurt, Regierungsbezirk Darmstadt, Hessen, 60327, Deutschland;50.10648215, 8.65585925476031, 0.0;5.010.648.215;865.585.925.476.031
