News;Timestamp;Ueberschrift;Link;Old;Year
 Nachmittagsmeldung zum Polizeibericht vom 29.01.2001 ;2001-01-29 19:54:00;POL-F: 010129 Polizei Frankfurt, Nachmittagsmeldung;"https://www.presseportal.de/blaulicht/pm/4970/215652
";False;2001
  Frankfurt-Niederrad:  Überfall auf Telekommunikationsladen      Heute gegen 17.05 Uhr betrat ein bislang unbekannter Täter einen Telekommunikationsladen in der Triftstraße in Niederrad.     Der mit einer Mütze maskierte Täter bedrohte die alleine anwesende Angestellte mit einer Schußwaffe und forderte die Herausgabe des Bargeldes.     Mit einer Beute von 400-500 DM verließ er das Geschäft und fuhr mit einem gelben Fahrrad in Richtung des Schwanheimer Waldes.    Bekleidet war der Täter mit einer schwarzen Jogginghose, einer nicht näher beschriebenen Jacke und schwarzen Turnschuhen.    Bei dem Überfall wurde niemand verletzt. (Manfred Füllhardt/-8015) ;2001-01-29 19:54:00;POL-F: 010129 Polizei Frankfurt, Nachmittagsmeldung;"https://www.presseportal.de/blaulicht/pm/4970/215652
";False;2001
 Frankfurt am Main, 26. Januar 2001Einladung     Die Frankfurter Oberbürgermeisterin Petra Roth und andere prominente Persönlichkeiten haben mit einem Benefiz-Lauf im Rahmen des Euro - Marathon Frankfurt am 29.Oktober 2000 dazu beigetragen, daß eine ansehnliche Summe für einen sozialen Zweck zusammengetragen werden konnte.    Die Präsidentin des Fördervereins «Große helfen Kleinen - Hilfe für Kinder e. V.», Frau Maryam Maleki, wird am29.Januar 2001, um 11.00 Uhr, im Polizeipräsidium Frankfurt, Dienstzimmer des Polizeipräsidenten, Friedrich- Ebert- Anlage 11, 60327 Frankfurt am Main    dem Frankfurter Polizeipräsidenten, Harald Weiss-Bollandt, in seiner Eigenschaft als Vorsitzendem der «Gesellschaft - Bürger und Polizei für mehr Sicherheit e. V.» einen Scheck überreichen. Die Gesellschaft will mit dieser Summe einen Beitrag für hilfsbedürftige Kinder leisten. Vereinsvorsitzender Harald Weiss-Bollandt wird anläßlich des Pressetermins nähere Ausführungen über die Verwendung des gespendeten Geldes machen.    Alle interessierten Medienvertreter sind dazu herzlich eingeladen. Jürgen Kapp Geschäftsführer Gesellschaft - Bürger und Polizei  für mehr Sicherheit e.V.        ;2001-01-26 13:44:00;POL-F: 010126 Pressemitteilungen, Teil 2, Polizeipräsidium Frankfurt am Main;"https://www.presseportal.de/blaulicht/pm/4970/214942
";False;2001
 Nachmittagsmeldung zum Polizeibericht vom 24. Januar 2001 ;2001-01-24 20:11:00;POL-F: 010124 - Nachmittagsmeldung zum PB vom 24.01., Pressestelle Polizei Frankfurt am Main;"https://www.presseportal.de/blaulicht/pm/4970/214113
";False;2001
  Autobahn A3: Schwerer Verkehrsunfall    Heute gegen 18.00 Uhr befuhr ein 24jähriger Frankfurter mit einem Abschleppwagen der Marke Mercedes die A3 in Richtung Würzburg. Anschließend wechselte er auf die Abbiegespur der A3 zur Autobahn 661, Fahrtrichtung Offenbach.     Hier fuhr ihm der 39jährige Lenker eines Mitsubishi Kleinbusses ins Heck und schob ihn durch die Wucht des Aufpralles auf den vor ihm fahrenden Audi.     Der Mitsubishi wurde seinerseits zurückgeschleudert und prallte noch mit dem hinter ihm fahrenden Pkw der Marke Peugeot zusammen.     Bei dem Unfall wurde der 39jährige Mitsubishilenker in seinem Wagen eingeklemmt und mußte von der Feuerwehr befreit werden. Mit schweren Verletzungen kam er in ein Krankenhaus. Der 24jährige Fahrer des Abschleppwagens wurde leicht verletzt. Der Gesamtsachschaden beziffert sich auf mehrere tausend DM.     In der Zeit von 18.00 Uhr bis 19.30 Uhr mußten die beiden Abbiegestreifen der A3 sowie der Standstreifen gesperrt werden. (Manfred Füllhardt/-8015) ;2001-01-24 20:11:00;POL-F: 010124 - Nachmittagsmeldung zum PB vom 24.01., Pressestelle Polizei Frankfurt am Main;"https://www.presseportal.de/blaulicht/pm/4970/214113
";False;2001
 010124- 0104 Hofheim: Das Polizeipräsidium Westhessen bittet um Mithilfe    Wir bitten um Veröffentlichung der nachstehenden Pressemitteilung des Polizeipräsidiums Westhessen sowie des beigefügten Phantombildes.     Polizeipräsidium Westhessen Hofheim, 17.01.2001     Kriminalinspektion Main-Taunus Sachbearbeiter: Liebs, PHK i.KD.     SG 11/2 / Raubdelikte       Tel. 06192-2079-270       Fax. 06192-2079-259Presseveröffentlichung    in der Sache bewaffneter Raubüberfall auf Kaufhaus SCHUKER am Dienstag, 16.01.2001, gg. 08.20 h in Schwalbach/Ts., Marktplatz 28    Zur o.a. Tatzeit überfiel ein männlicher Einzeltäter das Kaufhaus SCHUKER. Er wartete an einer Litfaßsäule in Höhe des Durchganges vom Parkplatz Höhe Westring zum Marktplatz auf die das Geschäft öffnende Angestellte. Als diese den Hintereingang aufschloß, schubste er sie in den Laden und zwang sie unter Vorhalt einer Handfeuerwaffe mit einem auffallend langen Lauf, ihm die Einnahmen des vorangegangenen Tages zu überlassen. Er bekam ein blaue Geldtasche mit Scheinen ausgehändigt und ließ sich noch Münzgeld in die Tasche packen. Dann flüchtete er zu Fuß grobe Richtung Rathaus/Bahnhof/Shell-Tankstelle am Westring.Personenbeschreibung:· männlich · deutsch · ca. 30-40 Jahre alt · normale Gestalt, keine Auffälligkeit · ca. 70-80 kg schwer · 170-175 cm groß · ohne Brille     · hatte kurzes, braunes, vor allem lichtes Haar, Kopfhaut sichtbar in der Mitte · auffällige dunkle runde Augen    · war unmaskiert war bewaffnet mit einer langläufigen Handfeuerwaffe    · Bekleidung: dunkelgrüne Stoffjacke, 3/4-lang, Oberschenkel bedeckt trug Stirnband über Stirn und Ohren mit mehrfarbigem ZickzackmusterAm 17.01.2001 konnte ein Phantombild erstellt werden.     Bilder können abgerufen werden unter http://www.newsaktuell.de/polizeipresse/index.htmlE-Mail-Adressaten bitte als Kennwort eigene E-Mail-Adresse ,     Ots-Benutzer bitte als Kennwort polizei_frankfurt@newsaktuell.deeingeben. (Manfred Füllhardt /-8015);2001-01-24 13:24:00;POL-F: 010124 Pressemitteilungen 1, Polizeipräsidium Frankfurt am Main;"https://www.presseportal.de/blaulicht/pm/4970/213924
";False;2001
 Pressemitteilung vom 22. Januar 2001     ;2001-01-22 07:50:00;POL-F: Einladung zur Vorstellung der Wachpolizisten durch Innenminister Bouffier, Pressestelle Polizei Frankfurt am Main;"https://www.presseportal.de/blaulicht/pm/4970/212819
";False;2001
 Dienstantritt von 28 Wachpolizistinnen und Wachpolizisten    Heute werden 28 Wachpolizistinnen und -polizisten ihren Dienst beim Polizeipräsidium in Frankfurt am Main antreten.    Um 15.00 Uhr werden der Hessische Minister des Innern und für Sport, Staatsminister Bouffier, der Frankfurter Polizeipräsident Weiss-Bollandt sowie weitere Vertreter der Behörde die 28 Wachpolizistinnen und -polizisten zur Amtseinführung begrüßen.    Daran anschließen wird sich noch ein Außentermin im Frankfurter Westend.Interessierte Medienvertreter sind hierzu herzlich eingeladen.     Die Amtseinführung findet um 15.00 Uhr im Frankfurter Polizeipräsidium, Großer Sitzungssaal, statt. Parkplätze sind im Innenhof des Präsidiums vorhanden.    Für nichtmotorisierte Medienvertreter besteht eine Mitfahrgelegenheit zu dem genannten Außentermin. (Manfred Füllhardt /-8015)    ;2001-01-22 07:50:00;POL-F: Einladung zur Vorstellung der Wachpolizisten durch Innenminister Bouffier, Pressestelle Polizei Frankfurt am Main;"https://www.presseportal.de/blaulicht/pm/4970/212819
";False;2001
 2. Nachmittagsmeldung zum Polizeibericht vom 19.01.2001;2001-01-19 19:30:00;POL-F: 010119 - 2. Nachmittagsmeldung, Polizei Frankfurt am Main, Pressestelle;"https://www.presseportal.de/blaulicht/pm/4970/212677
";False;2001
 Frankfurt-Innenstadt: Bankraub     Ein bislang unbekannter Täter betrat am 19.01.2001, gegen 17.50 Uhr, die Filiale der City-Bank in der Großen Eschenheimer Straße.    Mit einer Pistole bedrohte er den dort anwesenden Kassierer und forderte die Herausgabe von Bargeld.     Die übergebenen ca. 25.000,-- DM steckte er in eine mitgebrachte weiße Plastiktüte.     Anschließend flüchtete er aus der Bank in die nahe gelegene B-Ebene der Hauptwache.    Zeugen der Tat hatten unterdessen eine zufällig vorbeikommende Fußstreife der Polizei von der Fluchtrichtung des Täters informiert. Anschließend wurden die gesamte B-Ebene und die dort befindlichen U- und S-Bahnen durchsucht. Die Maßnahmen, die ca. 20 Minuten andauerten und sich auch auf den Bahnverkehr auswirkten, verliefen negativ.    Der Täter, der unmaskiert auftrat, wird beschrieben als etwa 30 Jahre alt, möglicherweise Ausländer. Er trug eine schwarze Mütze und eine dunkelbraune Steppjacke.     Personen, die sachdienliche Hinweise zu dem Täter geben können, werden gebeten, sich mit der Frankfurter Polizei unter der Rufnummer 069-7555128 oder 7555050 in Verbindung zu setzen. (Manfred Füllhardt - 06142-63319);2001-01-19 19:30:00;POL-F: 010119 - 2. Nachmittagsmeldung, Polizei Frankfurt am Main, Pressestelle;"https://www.presseportal.de/blaulicht/pm/4970/212677
";False;2001
