News;Timestamp;Ueberschrift;Link;Old;Year
 (mc) Am frühen Dienstagabend, des 30. Januars 2018, kam es an der Hügelstraße Ecke Felix-Dahn-Straße zu einem Verkehrsunfall, bei dem ein Streifenwagen verunfallte. Gegen 18.50 Uhr war die Streife mit eingeschaltetem Martinshorn und Blaulicht auf der Hügelstraße zu einem Einsatz unterwegs, als ein VW-Passat beim Einscheren aus einer Seitenstraße mutmaßlich die Vorfahrt des herannahenden Funkwagens missachtete. Um eine Kollision zu vermeiden, lenkte der 28-jährige Polizeibeamte am Steuer sein Fahrzeug nach links zum Fahrbahnrand und kollidierte daraufhin mit dem Mast eines Verkehrsspiegels. Glücklicherweise wurden die eingesetzten Beamten und der 49-jährige mutmaßliche Unfallverursacher nicht verletzt.  ;2018-01-31 11:08:00;POL-F: 180131 - 0127 Frankfurt-Ginnheim: Unfall in eigener Sache;"https://www.presseportal.de/blaulicht/pm/4970/3854626
";False;2018
 (fue) Am Dienstag, den 30. Januar 2018, gegen 15.50 Uhr, erschienen zwei Frauen vor der Wohnungstür einer 87-jährigen Frankfurterin in der Dürkheimer Straße. Mit Gardinen im Gepäck verschafften sie sich Zutritt in die Wohnung der Seniorin, wo man in der Küche damit begann, auf die Frau einzureden. Während nun eine der beiden Frauen die Geschädigte mit den Gardinen ablenkte, durchsuchte die andere in der Zwischenzeit die Wohnung. Mit vier Armbanduhren und rund 700 EUR Bargeld machten sich die beiden dann gegen 16.20 Uhr aus dem Staub. Die Geschädigte, die den Diebstahl kurze Zeit später bemerkte, beschreibt die Trickdiebinnen wie folgt:  ;2018-01-31 10:50:00;POL-F: 180131 - 0126 Frankfurt-Nied: Trickdiebstahl;"https://www.presseportal.de/blaulicht/pm/4970/3854577
";False;2018
 (ne) Zwei Taschendiebe haben gestern Mittag in einem Supermarkt in der Victor-Slotosch-Straße einer Seniorin das Portemonnaie gestohlen. Zivilbeamte nahmen beide Männer anschließend fest. Eine 79-jährige Frau, die gerade am Einkaufen war, hatten sich die beiden 28 und 43 Jahre alten Diebe als Opfer ausgesucht. In einem günstigen Moment griff einer der Täter in die Tasche der Frau. Danach verschwand er eilig aus dem Geschäft und stieg zu seinem Komplizen ins Auto, der schon mit laufendem Motor auf dem Parkplatz wartete. Die beiden Männer verließen zügig den Parkplatz, um wenige Meter weiter die Geldbörse erst zu durchsuchen und dann wegzuschmeißen. Obwohl sie sich aus Angst vor Entdeckung immer wieder nervös umschauten, waren sie umso überraschter, als plötzlich Zivilbeamte wie aus dem Nichts auftauchten und die beiden Täter festnahmen. Das herausgenommene Bargeld lag noch im Fahrzeug der beiden Langfinger, die im Anschluss der polizeilichen Maßnahmen direkt in die Haftzellen kamen.  ;2018-01-31 09:53:00;POL-F: 180131 - 0125 Frankfurt-Bergen-Enkheim: Taschendiebe auf frischer Tat festgenommen;"https://www.presseportal.de/blaulicht/pm/4970/3854463
";False;2018
 (fue) Wie den Medien bereits bekannt, wurde am Freitag, den 19. Januar 2018, in der Zeit zwischen 19.30 Uhr und 20.30 Uhr, eine 46-jährige Prostituierte Opfer eines gewalttätigen Freiers. Zu dem genannten Zeitpunkt empfing die Frau in ihrem Zimmer in einem Bordell in der Breite Gasse den Täter, der bereits mehrere Male zuvor Kunde bei ihr gewesen war, ohne dabei negativ aufzufallen. An diesem Tag jedoch würgte der Täter die Geschädigte bis zur Bewusstlosigkeit und verließ daraufhin das Etablissement. Als die 46-Jährige gegen 20.30 Uhr wieder zu sich kam, kroch sie von ihrem Zimmer auf den Flur und rief um Hilfe. Sie musste in ein Krankenhaus verbracht werden, wo sie stationär aufgenommen wurde. Von dem Täter wurde das dieser Meldung beigefügte Phantombild angefertigt. Er wird beschrieben als 35-45 Jahre alt und 175-180 cm groß. Sehr schlank mit auffallend heller Hautfarbe. Ovale Gesichtsform, dunkles, volles, leicht gewelltes Haar. Sprach Deutsch ohne Akzent. Die Frankfurter Polizei bittet Personen, die sachdienliche Hinweise zu dem Täter geben können, sich mit dem Kriminaldauerdienst (Telefon 069-75553111) oder jeder anderen Polizeidienststelle in Verbindung zu setzen.  ;2018-01-30 14:35:00;POL-F: 180130 - 124 Frankfurt-Innenstadt: Nachtrag zur Meldung Nummer 180121 - 0085 Versuchtes Tötungsdelikt;"https://www.presseportal.de/blaulicht/pm/4970/3853960
";False;2018
 (as) Am Donnerstag, den 01. Februar 2018 von 17.00 bis 19.00 Uhr steht die Frankfurter Polizei gemeinsam mit der Verbraucherzentrale Hessen in der polizeilichen Beratungsstelle, Zeil 33, in Frankfurt am Main für alle Fragen zum Thema Einbruchschutz, Trickdiebstahl und den Schutz durch eine empfehlenswerte Hausratversicherung zur Verfügung. Die individuelle Beratung ist selbstverständlich kostenlos.  ;2018-01-30 13:38:00;POL-F: 180130 - 123 Frankfurt: Beratungsstelle - Veranstaltungshinweis;"https://www.presseportal.de/blaulicht/pm/4970/3853834
";False;2018
 (ka) Einbrecher stiegen am Montag im Laufe des Tages in ein Haus in der Straße Am Hopfenbrunnen ein und entkamen mit einer großen Beute. Zwischen 08.00 Uhr und 15.00 Uhr drangen die Diebe in das Haus ein, schauten sich nach wertvollem um und wurden schließlich im Keller fündig. Dort brachen sie einen Metallschrank auf und fanden eine Kiste mit mehreren zehntausend Euro. Mit ihrer Beute flüchteten sie in unbekannte Richtung. Wie die Einbrecher genau in das Haus gelangen konnten ist Gegenstand der laufenden Ermittlungen. Es liegen aktuell keine Hinweise auf die Täter vor.  ;2018-01-30 11:29:00;POL-F: 180130 - 122 Frankfurt-Kalbach: Einbrecher unterwegs;"https://www.presseportal.de/blaulicht/pm/4970/3853580
";False;2018
" (as) Am Montag, den 29. Januar 2018, übergab der Frauenchor des Polizeichors Frankfurt dem Verein ""Frauen helfen Frauen Frankfurt"" im Beisein des Schirmherrn Herrn Polizeipräsident Gerhard Bereswill eine Spende in Höhe von über 4.500 Euro. ""Ersungen"" wurde der Erlös am 19. Dezember 2017 in der St. Katharinenkirche im Rahmen eines Benefizkonzerts des Frauenchors des Polizeichors Frankfurt mit der tatkräftigen Unterstützung des ""Frauenjazzchor-Projektes Frankfurt"" sowie den ""Liederlichen Lesben"". Das Publikum genoss das musikalische Angebot in vollen Zügen. Die Bandbreite war groß: Sowohl weltliche Musik, als auch klassische Weihnachtslieder wurden angestimmt. Der Erlös in Höhe von 4.500 Euro wurde nun am Montag in den Räumlichkeiten des Polizeipräsidiums Frankfurt dem Verein ""Frauen helfen Frauen Frankfurt"" übergeben. Der Verein unterstützt Frauen und deren Kinder, die häuslicher Gewalt ausgesetzt sind. Besonders erwähnenswert ist die finanzielle Unterstützung des Frankfurter Frauendezernates unter der Leitung von Dezernentin Rosemarie Heilig, das die Veranstaltung mit 1.950 Euro gesponsert hat. Aufgrund der äußerst positiven Resonanz wird auch dieses Jahr ein Benefizkonzert unter dem Motto ""Frauen helfen Frauen"" stattfinden. Am 18. Dezember 2018 sollen erneut für den guten Zweck in der St. Katharinenkirche festliche Lieder angestimmt werden. Selbstverständlich sicherte der Frankfurter Polizeipräsident auch für dieses Jahr seine Unterstützung zu.  ";2018-01-30 10:59:00;POL-F: 170130 - 121 Frankfurt: Frauenchor des Polizeichors Frankfurt spendet über 4.500 Euro für Frauenhaus (FOTO beachten);"https://www.presseportal.de/blaulicht/pm/4970/3853507
";False;2018
" (fue) Am 19. Dezember 2017, gegen 18.55 Uhr, näherte sich ein bislang unbekannter Täter aus Richtung der Elisabeth-Schwarzhaupt-Anlage einem Kiosk und trat nach kurzem Verweilen hinter einem Zeitungsständer an den Verkaufstresen. Hier klopfte er gegen die Glasdurchreiche, woraufhin der Inhaber diese öffnete. Der Täter bedrohte den Inhaber dann unmittelbar mit einer schwarzen Schusswaffe und den Worten: ""Geld her oder ich schieße!"". Dem Geschädigten gelang es, sich in den rückwärtigen Bereich des Kiosks zu flüchten, was den Täter offensichtlich dazu bewogen hat, von seinem Vorhaben abzulassen und ohne Raubgut zu flüchten. Der Täter kann wie folgt beschrieben werden: Ca. 180  - 190 cm groß, sehr schmal / schlank, bekleidet mit dunkler Jogginghose mit jeweils drei roten vertikalen Streifen am Hosenbein, schwarzen Turnschuhen mit weißer Sohle, dunkelblaue Jacke mit schwarzen Justiergurten im Bereich der Hüfte, maskiert mit schwarzer Gummi- / Plastik-Maske (Faschingsmaske) mit roten Lippen. Bewaffnet mit schwarzer Pistole (in der rechten Hand). Sprach deutsch ohne hörbaren Akzent Die beigefügten Bilder zeigen den Täter, gefilmt von den Überwachungskameras. Die Frankfurter Polizei bittet Personen, die sachdienliche Hinweise zu der abgebildeten Person bzw. dem beschriebenen Täter geben können, sich mit dem Kriminaldauerdienst unter der Telefonnummer 069-75553111 oder jeder anderen Polizeidienststelle in Verbindung zu setzen.  ";2018-01-29 16:27:00;POL-F: 180129 - 0120 Frankfurt-Dornbusch: Versuchter Überfall auf Kiosk  Die Polizei bittet um Mithilfe;"https://www.presseportal.de/blaulicht/pm/4970/3853074
";False;2018
 (ka) Am Samstagnachmittag gelang es Zivilpolizisten auf der Zeil zwei Taschendiebinnen festzunehmen. Anschließende Ermittlungen ergaben, dass diese für weitere Diebstähle verantwortlich sein könnten. Gegen 16.00 Uhr fielen den Beamten zwei Frauen auf, die in dem Kleidungsladen nach Tatgelegenheiten Ausschau hielten. Schließlich entdeckten die Diebinnen zwei Kundinnen mit Rucksäcken. Nach mehreren Anläufen schafften sie es deren Reißverschlüsse zu öffnen. In einem der beiden Rucksäcke befanden sich scheinbar keine Wertsachen, da die Diebinnen, nachdem sie hereingeschaut hatten, kein Interesse mehr an diesem hatten. Von dem zweiten geöffneten Rucksack mussten sie ablassen, weil die beiden Kundinnen auf sie aufmerksam wurden. Nachdem sie entdeckt wurden, verließen sie das Geschäft schnellen Schrittes in Richtung Konstablerwache, wo sie von den Beamten festgenommen wurden. Bei den Taschendiebinnen handelt es sich um Frauen im Alter von 35 und 21 Jahren. Ermittlungen ergaben, dass sie ebenfalls für einen Taschendiebstahl am 19. Januar 2018 in einem Schuhladen auf der Zeil verantwortlich sind. Auch aus dem europäischen Ausland (Niederlande und Spanien) liegen Erkenntnisse über die kriminelle Vergangenheit der Frauen vor. Die Ermittlungen, auch bezüglich eventueller weiterer Straftaten, wurden aufgenommen. Die wohnsitzlosen Diebinnen wurden dem Haftrichter vorgeführt und befinden sich momentan in Untersuchungshaft.  ;2018-01-29 14:48:00;POL-F: 180129 - 0119 Frankfurt-Innenstadt: Taschendiebinnen festgenommen;"https://www.presseportal.de/blaulicht/pm/4970/3852916
";False;2018
 (ka) Nachdem sie bei einer Verkehrskontrolle Verdacht schöpften, fanden Polizeibeamte am Samstagmorgen in einer Wohnung in der Straße Neue Fahrt eine größere Menge Drogen. Die Polizisten kontrollierten gegen 08.00 Uhr ein Auto in der Hügelstraße. Während der Verkehrskontrolle bemerkten sie, dass von dem Beifahrer und seinem Rucksack ein sehr starker Drogengeruch ausging. Erstaunlicherweise fanden sie bei den Durchsuchungen keinerlei Drogen. Die Beamten ließen aber nicht locker und fuhren zu dem Mehrfamilienhaus in der Straße Neue Fahrt, in welchem der 39-jährige Beifahrer wohnt. Schon im Treppenhaus und vor allem vor der Wohnungstür des Mannes stieg den Polizisten erneut ein penetranter Drogengeruch in die Nasen. Nachdem ihnen ein Durchsuchungsbeschluss vorlag, schauten sie sich in der Wohnung um und wurden fündig. Sie entdeckten etwa 600 Gramm Marihuana, zwei Gramm Haschisch, eine geladene Schreckschusswaffe und diverses Drogenzubehör. Die Ermittlungen gegen den 39-Jährigen dauern an.  ;2018-01-29 14:45:00;POL-F: 180129 - 0118 Frankfurt/Nieder-Erlenbach: Polizisten beweisen guten Riecher;"https://www.presseportal.de/blaulicht/pm/4970/3852907
";False;2018
